,交易年份,屋齡,交易標的,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,floor,車位類別-坡道平面,車位類別-坡道機械,車位類別-升降平面,車位類別-升降機械,車位類別-一樓平面,車位類別-塔式車位,車位類別-其他,建物型態-公寓,建物型態-華廈,建物型態-住宅大樓,建物型態-套房,建物型態-透天,NEAR_HOSTIPAL_250,NEAR_HOSTIPAL_500,NEAR_HOSTIPAL_750,CLINIC_COUNT_250,CLINIC_COUNT_500,CLINIC_COUNT_750,DENTIST_COUNT_250,DENTIST_COUNT_500,DENTIST_COUNT_750,PHARMACY_COUNT_250,PHARMACY_COUNT_500,PHARMACY_COUNT_750,CSTORE_COUNT_250,CSTORE_COUNT_500,CSTORE_COUNT_750,FASTFOOD_COUNT_250,FASTFOOD_COUNT_500,FASTFOOD_COUNT_750,LIBRARY_COUNT_250,LIBRARY_COUNT_500,LIBRARY_COUNT_750,NEAR_SCHOOL_250,NEAR_SCHOOL_500,NEAR_UNIVERSITY_250,NEAR_UNIVERSITY_500,NEAR_UNIVERSITY_750,NEAR_FIRESTATION_250,NEAR_FIRESTATION_500,NEAR_FIRESTATION_750,NEAR_FUEL_250,NEAR_FUEL_500,NEAR_FUEL_750,NEAR_MARKET_250,NEAR_MARKET_500,NEAR_MARKET_750,NEAR_POLICE_250,NEAR_POLICE_500,TEMPLE_COUNT_250,TEMPLE_COUNT_500,TEMPLE_COUNT_750,PARK_AREA_250,PARK_AREA_500,PARK_AREA_750,WATER_AREA_250,WATER_AREA_500,WATER_AREA_750,PARKING_AREA_250,PARKING_AREA_500,PARKING_AREA_750,STOP_COUNT_250,STOP_COUNT_500,STOP_COUNT_750,NEAR_MRT_250,NEAR_MRT_500,NEAR_MRT_750,NEAR_TRA_500,NEAR_TRA_750,y,0
10,111,15.0,1,3,2,1,1,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,6.0,18.0,28.0,2.0,12.0,17.0,3.0,8.0,12.0,4.0,15.0,29.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1.0,11.0,25.0,2793.4581126741105,32555.90554044536,104446.79718697848,0.0,72152.07469897816,333919.8700774174,1640.666046748544,10925.083816497508,11276.619967029354,9.0,26.0,44.0,0,0,1,0,0,211463,179475.55
11,111,1.0,0,2,1,1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,6.0,20.0,46.0,2.0,14.0,21.0,2.0,7.0,13.0,6.0,21.0,36.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0,1,1,1.0,1.0,1.0,0.0,1.0,1.0,0,1,3.0,25.0,29.0,3709.5575651100016,12860.250985650504,73004.07266766495,0.0,0.0,135175.1927901576,0.0,14400.642842612431,20256.655356989464,9.0,33.0,47.0,1,1,1,0,0,259406,221354.52
12,111,1.0,1,3,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1.0,3.0,15.0,0.0,0.0,11.0,0.0,2.0,10.0,0.0,2.0,13.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0,1,1,0.0,0.0,1.0,0.0,1.0,1.0,0,1,1.0,5.0,10.0,59699.15978193915,142178.24452174327,189003.14864841924,975.9796467737268,169644.79226986232,490421.1672517173,3582.550628707607,8725.169093860482,16868.07683845187,3.0,10.0,26.0,0,0,0,0,0,169417,182310.48
13,111,45.0,0,4,0,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,7.0,24.0,38.0,1.0,13.0,24.0,2.0,5.0,16.0,6.0,22.0,37.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0,0,1,0.0,1.0,1.0,0.0,1.0,1.0,0,1,13.0,22.0,30.0,6293.692721031259,15557.525333955313,82256.18551004576,0.0,0.0,121331.27859956295,1084.5342121365998,4879.751982017726,21241.50637285268,7.0,26.0,62.0,0,1,1,0,0,158629,137250.94
14,111,19.0,0,4,2,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,8.0,30.0,59.0,7.0,16.0,34.0,3.0,6.0,16.0,3.0,17.0,49.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,3.0,9.0,37.0,2026.8955993504333,15003.467458916482,82781.52725219389,0.0,0.0,71230.65522778219,4399.640333837446,9765.212853837778,20382.52618725303,8.0,32.0,51.0,0,1,1,0,0,191730,184636.3
15,111,20.0,1,7,0,7,1,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,6.0,37.0,107.0,2.0,17.0,53.0,1.0,6.0,18.0,8.0,27.0,58.0,0.0,4.0,8.0,0.0,4.0,8.0,1.0,1.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,1.0,1.0,1.0,0,1,2.0,13.0,23.0,7013.480673170999,37190.52628909612,55371.838553245296,0.0,0.0,0.0,0.0,6841.528949605158,26407.54026830754,5.0,25.0,100.0,0,1,1,0,0,208306,209593.3
16,111,16.0,0,2,1,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,9.0,20.0,28.0,2.0,11.0,15.0,4.0,9.0,11.0,2.0,20.0,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1,3.0,12.0,29.0,3429.6637881379493,15872.764276199265,224505.8191147689,0.0,0.0,39281.43635993053,2236.17962155113,2995.108510998442,11442.433284563283,8.0,35.0,54.0,0,1,1,0,0,179109,184073.48
17,111,5.0,1,3,2,2,1,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,6.0,44.0,95.0,6.0,24.0,47.0,1.0,10.0,17.0,2.0,34.0,70.0,2.0,5.0,7.0,2.0,5.0,7.0,1.0,1.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,0,1,7.0,10.0,28.0,12806.543741209303,27137.4393118854,73539.94919012958,0.0,0.0,0.0,706.5563562392306,3774.40982462341,25801.745338130557,5.0,21.0,55.0,1,1,1,0,0,318789,247922.38
18,111,51.0,0,2,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,3.0,12.0,19.0,5.0,8.0,13.0,2.0,8.0,9.0,4.0,11.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1,1.0,7.0,18.0,12714.54672248292,79406.48972395655,132852.24676081477,0.0,99135.40940415049,366059.68095037725,3809.1522129286514,8281.511456030912,14539.428736875543,8.0,20.0,36.0,0,0,0,0,0,152534,132022.47
19,111,1.0,1,3,2,2,1,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1.0,10.0,25.0,2.0,5.0,12.0,0.0,4.0,12.0,2.0,12.0,25.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,3.0,7.0,27.0,13742.006733624969,31535.80350279746,71202.54393324208,36071.02292192882,262434.8477787946,474846.4266809591,4472.35924310226,11681.829376910331,16406.80406790696,4.0,15.0,35.0,0,1,1,0,0,202453,174489.73
20,111,17.0,1,3,2,2,1,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,6.0,18.0,29.0,1.0,12.0,17.0,3.0,9.0,12.0,4.0,17.0,29.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2.0,11.0,25.0,2864.905094162379,30651.78949611137,102403.54125923524,0.0,71009.64342049227,333363.7510277403,2143.411073101038,10766.84361937626,11276.619967029354,6.0,25.0,45.0,0,0,1,0,0,163355,168463.55
21,111,16.0,1,3,2,2,1,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,9.0,20.0,28.0,2.0,11.0,15.0,4.0,9.0,11.0,2.0,20.0,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1,3.0,12.0,29.0,3429.6637881379493,15872.764276199265,224505.8191147689,0.0,0.0,39281.43635993053,2236.17962155113,2995.108510998442,11442.433284563283,8.0,35.0,54.0,0,1,1,0,0,194565,184835.88
22,111,16.0,0,2,2,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,11.0,15.0,5.0,7.0,11.0,2.0,6.0,10.0,5.0,9.0,15.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2.0,7.0,15.0,29458.725950011303,88137.00277574606,144497.90050616598,0.0,60569.26242979384,339805.0235926035,3809.1522129286514,6045.331834479782,12735.923261619886,8.0,18.0,35.0,0,0,0,0,0,178730,154076.52
23,111,39.0,0,0,1,1,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,8.0,24.0,50.0,3.0,16.0,26.0,2.0,8.0,12.0,5.0,14.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,1,1,4.0,10.0,20.0,3207.1945864052414,43219.46830552967,98692.75718844202,0.0,86065.35057832744,378431.261196688,5837.974492082174,15473.126898566388,20362.039315039638,8.0,23.0,49.0,0,1,1,0,0,184500,175986.69
24,111,37.0,0,4,2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,6.0,11.0,22.0,6.0,7.0,14.0,5.0,8.0,9.0,5.0,11.0,24.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1,1.0,8.0,19.0,3965.9437795650815,69707.04074135175,126077.59684431844,0.0,45800.74218788682,296307.2015771635,1670.15159376544,8011.073458063844,13357.973433224275,11.0,22.0,38.0,0,0,0,0,0,140364,140042.61
25,111,5.0,1,2,2,1,1,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,3.0,15.0,38.0,3.0,8.0,21.0,2.0,3.0,11.0,4.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0,1,4.0,9.0,23.0,11465.65107125019,37844.270943175296,84929.94826815154,13058.398467656018,206293.45958256547,479215.9464298647,7209.470133808074,14145.641661716969,20539.158939207904,4.0,20.0,38.0,1,1,1,0,0,216302,204576.05
26,111,1.0,0,2,2,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,5.0,30.0,57.0,8.0,15.0,28.0,2.0,8.0,14.0,4.0,18.0,39.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1,4.0,9.0,36.0,1677.1928085696677,16638.181331496064,82609.7171719367,0.0,0.0,134915.97407760742,4399.640333837446,14234.332007334382,20382.52618725303,10.0,26.0,51.0,1,1,1,0,0,235780,209170.06
