,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,主要建材,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址
12382,111,新北市淡水區新市五路三段326號十六樓,淡水區,5.0,房地(土地+建物)+車位,1110317,1061229,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,坡道平面,有,79932,False
12383,111,新北市淡水區學府路102巷76號五樓,淡水區,15.0,房地(土地+建物)+車位,1110313,0960604,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,81936,False
12384,111,新北市淡水區北新路118號三樓,淡水區,30.0,房地(土地+建物),1110311,0810608,華廈(10層含以下有電梯),鋼筋混凝土造,2,1,1,,有,76632,False
12385,111,新北市淡水區學府路205巷1弄10號五樓,淡水區,41.0,房地(土地+建物),1110303,0700119,公寓(5樓含以下無電梯),鋼筋混凝土造,10,0,10,,無,67568,False
12386,111,新北市八里區頂罟一路56號十五樓,八里區,1.0,房地(土地+建物)+車位,1110311,1100416,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,85501,False
12387,111,新北市淡水區自強路8號三樓之9,淡水區,15.0,房地(土地+建物),1110402,0961119,華廈(10層含以下有電梯),鋼筋混凝土造,1,0,1,,有,104923,False
12388,111,新北市淡水區濱海路一段306巷9弄5號四樓,淡水區,10.0,房地(土地+建物)+車位,1110213,1010806,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,坡道平面,有,68184,False
12389,111,新北市三芝區淺水灣街10之7號四樓,三芝區,25.0,房地(土地+建物)+車位,1110305,0860529,華廈(10層含以下有電梯),鋼筋混凝土造,2,2,1,坡道機械,有,35153,False
12390,111,新北市淡水區淡金路一段573號八樓,淡水區,7.0,房地(土地+建物),1110313,1041001,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,,有,80541,False
12391,111,新北市三芝區田心子15之8號五樓,三芝區,27.0,房地(土地+建物),1110312,0840408,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,1,,無,20931,False
12392,111,新北市淡水區下圭柔山49之5號,淡水區,44.0,房地(土地+建物),1110331,0671201,透天厝,加強磚造,0,0,0,,無,42571,False
12393,111,新北市淡水區紅樹林路171號五樓,淡水區,5.0,房地(土地+建物)+車位,1110305,1060118,住宅大樓(11層含以上有電梯),鋼骨鋼筋混凝土造,3,2,2,坡道平面,有,91341,False
12394,111,新北市淡水區新春街148之1號十二樓,淡水區,8.0,房地(土地+建物),1110327,1030423,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,,有,73044,False
