,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,主要建材,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址,floor,lon,lat
730,110,新北市林口區中山路677號十四樓之二,林口區,5.0,房地(土地+建物)+車位,1100911,1051018,住宅大樓(11層含以上有電梯),鋼筋混凝土造,1,2,1,坡道平面,有,92846,False,14,121.37799389999999,25.083460199999998
731,110,新北市林口區仁愛路二段267巷1號九樓,林口區,16.0,房地(土地+建物)+車位,1101110,0940510,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,81414,False,9,121.3734505,25.0771311
732,110,新北市五股區登林路81之51號七樓,五股區,20.0,房地(土地+建物),1101105,0900611,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,,有,78625,False,7,121.42709039999998,25.0702897
733,110,新北市新莊區雙鳳路77巷8號十五樓之六,新莊區,5.0,房地(土地+建物),1101113,1050914,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,,有,137481,False,15,121.41456430000001,25.0271804
734,110,新北市新莊區中和街177號七樓之二,新莊區,29.0,房地(土地+建物),1101114,0810125,華廈(10層含以下有電梯),鋼筋混凝土造,1,1,1,,有,126833,False,7,121.447623,25.050564899999998
735,110,新北市泰山區泰林路二段579巷6弄3號三樓,泰山區,29.0,房地(土地+建物),1101117,0811123,住宅大樓(11層含以上有電梯),鋼筋混凝土造,1,2,1,,有,81773,False,3,121.42224209999999,25.0628551
736,110,新北市新莊區福前街313號十四樓,新莊區,8.0,房地(土地+建物)+車位,1101206,1021203,住宅大樓(11層含以上有電梯),鋼筋混凝土造,1,1,1,坡道機械,有,117547,False,14,121.4621833,25.060366
737,110,新北市林口區三民路128之3號四樓,林口區,6.0,房地(土地+建物)+車位,1101116,1041223,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道機械,有,114719,False,4,121.361086,25.070939499999998
739,110,新北市新店區安光路35號二十一樓,新店區,3.0,房地(土地+建物)+車位,1100614,1071015,住宅大樓(11層含以上有電梯),鋼筋混凝土構造,3,2,2,坡道平面,有,112057,False,21,121.5135767,24.964144799999996
740,110,新北市新店區達觀路8巷2號十八樓,新店區,25.0,房地(土地+建物)+車位,1101030,0850627,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,2,坡道平面,有,67563,False,18,121.50474809999999,24.9432565
741,110,新北市新店區中興路三段219之1號二十四樓之三,新店區,23.0,房地(土地+建物)+車位,1100919,0871231,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,2,坡道機械,有,158730,False,24,121.54318669999998,24.9821836
742,110,新北市新店區三民路159巷19弄2號二樓,新店區,3.0,房地(土地+建物)+車位,1101127,1070604,華廈(10層含以下有電梯),鋼筋混凝土造,3,1,2,升降機械,有,140809,False,2,121.532669,24.974149399999998
743,110,新北市新店區寶元路二段17巷4號三樓,新店區,48.0,房地(土地+建物),1101026,0621029,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,127001,False,3,121.54632519999998,24.9822535
744,110,新北市新店區安忠路92巷8號八樓,新店區,23.0,房地(土地+建物),1101112,0870115,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,1,1,,有,105752,False,8,121.510238,24.9572464
745,110,新北市新店區寶慶街12號十九樓之二,新店區,21.0,房地(土地+建物),1101108,0890203,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,,有,173221,False,19,121.5432891,24.987022999999994
746,110,新北市新店區安民街156巷36號十二樓,新店區,11.0,房地(土地+建物),1101030,0990610,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,,有,116277,False,12,121.5176684,24.96982669999999
747,110,新北市新店區民權路111號二十一樓之二,新店區,16.0,房地(土地+建物)+車位,1101112,0941226,住宅大樓(11層含以上有電梯),鋼骨造,3,2,3,坡道平面,有,175510,False,21,121.5361992,24.982674
748,110,新北市汐止區福德一路201巷17弄22號,汐止區,29.0,房地(土地+建物),1101109,0811109,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,1,,有,109940,False,1,121.63665309999999,25.065230000000003
749,110,新北市汐止區長青路132巷1弄4號,汐止區,40.0,房地(土地+建物),1100622,0701126,透天厝,加強磚造,4,2,3,,無,91814,False,1,121.60664999999997,25.1108312
750,110,新北市汐止區明峰街136號十二樓之1,汐止區,5.0,房地(土地+建物)+車位,1101017,1050725,住宅大樓(11層含以上有電梯),鋼筋混凝土構造,3,2,2,坡道平面,有,119900,False,12,121.62969079999999,25.070965899999994
751,110,新北市汐止區連興街150號3樓,汐止區,40.0,房地(土地+建物),1101106,0701013,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,1,,無,100035,False,3,121.6540013,25.061295200000004
752,110,新北市汐止區大同路二段281號4樓之1,汐止區,26.0,房地(土地+建物),1101120,0840126,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,,有,105939,False,4,121.65409869999999,25.065998699999998
753,110,新北市汐止區莊敬街115號1樓,汐止區,41.0,房地(土地+建物),1101116,0690922,公寓(5樓含以下無電梯),鋼筋混凝土造,3,0,2,,無,230959,False,1,121.6551652,25.060852
754,110,新北市汐止區水源路二段22巷8號13樓,汐止區,23.0,房地(土地+建物),1101109,0870814,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,,有,110799,False,13,121.6543495,25.057401400000003
755,110,新北市萬里區仁二街9號3樓,萬里區,41.0,房地(土地+建物),1101206,0690904,公寓(5樓含以下無電梯),鋼筋混凝土造,3,1,1,,無,11765,False,3,121.68231779999999,25.1759114
756,110,新北市汐止區樟樹二路339巷1號,汐止區,24.0,房地(土地+建物),1101121,0861201,華廈(10層含以下有電梯),鋼筋混凝土造,2,1,1,,有,101868,False,1,121.6414238,25.070636699999998
757,110,新北市汐止區伯爵街14巷6號3樓,汐止區,29.0,房地(土地+建物)+車位,1100916,0810521,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,3,坡道平面,有,35562,False,3,121.643458,25.078967
758,110,新北市汐止區福德二路61之5號八樓,汐止區,4.0,房地(土地+建物)+車位,1101118,1060725,住宅大樓(11層含以上有電梯),鋼筋混凝土構造,2,2,1,坡道平面,有,128251,False,8,121.6342276,25.0666446
759,110,新北市汐止區福德二路156巷48號3樓,汐止區,25.0,房地(土地+建物),1101118,0850116,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,1,1,,有,107899,False,3,121.6298526,25.066016
760,110,新北市汐止區長興街一段59號三樓,汐止區,1.0,房地(土地+建物),1100714,1090316,華廈(10層含以下有電梯),鋼筋混凝土構造,2,1,1,,有,87817,False,3,121.6704367,25.0794847
761,110,新北市汐止區樟樹一路119巷10弄14號,汐止區,33.0,房地(土地+建物),1101120,0770116,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,110767,False,1,121.64074400000001,25.064799999999995
762,110,新北市汐止區樟樹二路416號六樓,汐止區,3.0,房地(土地+建物),1101028,1070222,住宅大樓(11層含以上有電梯),鋼筋混凝土構造,2,2,1,,有,111775,False,6,121.64315590000001,25.073771
763,110,新北市汐止區仁愛路106巷28號七樓,汐止區,0.0,房地(土地+建物)+車位,1101106,1100625,住宅大樓(11層含以上有電梯),鋼筋混凝土構造,2,2,1,坡道平面,有,150289,False,7,121.6627097,25.063083199999998
764,110,新北市汐止區仁愛路106巷20號八樓,汐止區,0.0,房地(土地+建物),1101107,1100625,住宅大樓(11層含以上有電梯),鋼筋混凝土構造,2,2,1,,有,145073,False,8,121.6627097,25.063083199999998
765,110,新北市萬里區忠四街36號4樓,萬里區,43.0,房地(土地+建物),1101104,0671221,公寓(5樓含以下無電梯),鋼筋混凝土造,3,1,1,,無,12771,False,4,121.6849834,25.1761925
766,110,新北市汐止區樟樹二路271之1號13樓,汐止區,21.0,房地(土地+建物)+車位,1101115,0890819,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,94235,False,13,121.64086999999999,25.068885999999996
767,110,新北市汐止區康寧街609號六樓,汐止區,2.0,房地(土地+建物),1101117,1080220,華廈(10層含以下有電梯),鋼筋混凝土構造,1,1,1,,有,120623,False,6,121.636103,25.070991
768,110,新北市汐止區中興路179之2號七樓,汐止區,5.0,房地(土地+建物)+車位,1101130,1050420,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,117064,False,7,121.6304996,25.066664199999998
769,110,新北市萬里區仁二街21號3樓,萬里區,41.0,房地(土地+建物),1101130,0690904,公寓(5樓含以下無電梯),鋼筋混凝土造,3,1,1,,無,11146,False,3,121.6821025,25.1763224
770,110,新北市汐止區汐萬路二段228巷31弄98號5樓,汐止區,26.0,房地(土地+建物),1101101,0841110,公寓(5樓含以下無電梯),鋼筋混凝土造,2,2,2,,無,22371,False,5,121.647729,25.091677999999998
771,110,新北市淡水區新市三路二段375號二十四樓,淡水區,2.0,房地(土地+建物)+車位,1100826,1080822,住宅大樓(11層含以上有電梯),鋼筋混凝土造,1,1,1,坡道機械,有,68966,False,24,121.4367005,25.195643600000004
772,110,新北市淡水區淡金路14號十樓,淡水區,14.0,房地(土地+建物)+車位,1101103,0960827,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,82762,False,10,121.45712040000001,25.1598684
773,110,新北市淡水區小坪頂100巷10號,淡水區,28.0,房地(土地+建物),1101115,0820416,透天厝,鋼筋混凝土造,5,4,4,,有,46379,False,1,121.4889947,25.1606389
774,110,新北市八里區商港路82號十四樓,八里區,6.0,房地(土地+建物),1101030,1040306,住宅大樓(11層含以上有電梯),鋼筋混凝土造,1,1,1,,有,78705,False,14,121.39454729999999,25.1477704
775,110,新北市八里區文化街109號,八里區,12.0,房地(土地+建物)+車位,1101013,0980803,透天厝,鋼筋混凝土造,3,4,3,一樓平面,無,73082,False,1,121.422323,25.159838999999995
776,110,新北市淡水區義山路一段23號三樓,淡水區,6.0,房地(土地+建物)+車位,1101116,1040430,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,66847,False,3,121.4376145,25.187549399999998
777,110,新北市淡水區水源街二段92巷18號,淡水區,41.0,房地(土地+建物),1101124,0690424,公寓(5樓含以下無電梯),鋼筋混凝土造,6,0,6,,無,59109,False,1,121.45210089999999,25.173461999999997
778,110,新北市淡水區紅樹林路223號九樓之2,淡水區,10.0,房地(土地+建物)+車位,1101119,1000602,華廈(10層含以下有電梯),鋼筋混凝土造,2,2,1,升降平面,有,82596,False,9,121.46127609999998,25.1553936
779,110,新北市淡水區沙崙路一段126巷106號九樓,淡水區,5.0,房地(土地+建物)+車位,1101107,1050816,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,78131,False,9,121.43216770000001,25.1888652
780,110,新北市八里區龍米路二段36號十樓,八里區,8.0,房地(土地+建物),1101108,1021111,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,1,1,,有,75475,False,10,121.448532,25.140380800000003
781,110,新北市淡水區新市三路一段328號十五樓,淡水區,6.0,房地(土地+建物)+車位,1101118,1040515,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,69955,False,15,121.42992389999999,25.1972117
782,110,新北市淡水區坪頂路78之2號八樓,淡水區,1.0,房地(土地+建物)+車位,1101005,1090709,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,71807,False,8,121.4611877,25.1635691
783,110,新北市淡水區淡金路一段531號三樓,淡水區,13.0,房地(土地+建物)+車位,1101121,0971008,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,0,3,坡道平面,有,57710,False,3,121.45366609999999,25.1800498
784,110,新北市淡水區新民街76巷15號二樓,淡水區,41.0,房地(土地+建物),1101111,0691009,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,1,,無,55916,False,2,121.43889969999998,25.1770357
785,110,新北市淡水區新市一路一段281巷76號,淡水區,13.0,房地(土地+建物)+車位,1101115,0971106,透天厝,鋼筋混凝土造,4,2,3,坡道平面,有,72057,False,1,121.4346414,25.1870139
786,110,新北市淡水區新民街180巷5號五樓,淡水區,37.0,房地(土地+建物),1101121,0731218,公寓(5樓含以下無電梯),鋼筋混凝土造,4,0,4,,無,52380,False,5,121.43719259999997,25.179150399999997
787,110,新北市三重區集賢路12號三樓,三重區,12.0,房地(土地+建物)+車位,1101002,0980121,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,坡道平面,有,105307,False,3,121.49488020000001,25.0872708
788,110,新北市蘆洲區民族路227巷24弄5號四樓,蘆洲區,40.0,房地(土地+建物),1101114,0701226,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,1,,無,81443,False,4,121.4762578,25.0888955
789,110,新北市三重區元信二街118號四樓,三重區,0.0,房地(土地+建物),1101118,1100706,華廈(10層含以下有電梯),鋼筋混凝土造,2,1,1,,有,145184,False,4,121.4972698,25.079769499999998
790,110,新北市三重區文化北路26巷16號三樓,三重區,41.0,房地(土地+建物),1101124,0690117,公寓(5樓含以下無電梯),鋼筋混凝土造,2,1,1,,無,114259,False,3,121.49846939999999,25.064454700000002
791,110,新北市蘆洲區中正路185巷27號二樓,蘆洲區,33.0,房地(土地+建物),1101125,0770629,公寓(5樓含以下無電梯),鋼筋混凝土造,3,1,2,,無,102031,False,2,121.46663140000001,25.0844462
792,110,新北市三重區捷運路11號十七樓之三,三重區,24.0,房地(土地+建物),1101007,0860616,住宅大樓(11層含以上有電梯),鋼骨鋼筋混凝土造,3,2,2,,有,135844,False,17,121.48582970000001,25.0564855
793,110,新北市蘆洲區信義路188巷2弄4號三樓,蘆洲區,41.0,房地(土地+建物),1101119,0690905,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,83810,False,3,121.4794345,25.084287699999997
