,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址,floor,lon,lat
3095,109,碇內街192巷11號2樓,暖暖區,36.0,房地(土地+建物),1090930,0730112,公寓(5樓含以下無電梯),2,1,1,,無,36530,False,2,121.753924,25.091804800000002
3096,109,觀海街62號,中正區,21.0,房地(土地+建物)+車位,1090927,0880114,住宅大樓(11層含以上有電梯),0,0,0,坡道平面,有,28440,False,1,121.79384410000002,25.1373225
3097,109,深美街136巷26號,信義區,15.0,房地(土地+建物)+車位,1090929,0940726,透天厝,5,2,3,一樓平面,無,55072,False,1,121.7803271,25.1362486
3098,109,觀海街66號,中正區,21.0,房地(土地+建物)+車位,1090927,0880114,住宅大樓(11層含以上有電梯),0,0,0,坡道平面,有,33097,False,1,121.79396639999997,25.1373206
3099,109,新豐街468之5號7樓,中正區,23.0,房地(土地+建物)+車位,1090918,0861121,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,39044,False,7,121.78556569999999,25.136861399999994
3100,109,獅球路31巷24弄29號,仁愛區,47.0,房地(土地+建物),1090926,0620226,公寓(5樓含以下無電梯),2,2,1,,無,27033,False,1,121.73898650000001,25.125560699999998
3101,109,東勢街6之87號4樓,暖暖區,3.0,房地(土地+建物)+車位,1090919,1061103,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,64267,False,4,121.73786880000002,25.098508000000002
3102,109,西定路479之1號,中山區,41.0,房地(土地+建物),1090924,0681121,公寓(5樓含以下無電梯),3,2,1,,無,25384,False,1,121.72706029999998,25.1407629
3103,109,基金三路59之5號5樓,安樂區,28.0,房地(土地+建物),1090928,0810718,公寓(5樓含以下無電梯),3,2,2,,無,29813,False,5,121.69594909999999,25.1518107
3104,109,劉銘傳路95巷15之9號,仁愛區,37.0,房地(土地+建物),1090924,0720624,公寓(5樓含以下無電梯),2,2,1,,無,29925,False,1,121.750931,25.12539
3105,109,教忠街25巷22號,信義區,4.0,房地(土地+建物),1090928,1050420,透天厝,6,3,4,,有,60253,False,1,121.77737259999998,25.1351431
3106,109,正榮街115號七樓,中正區,0.0,房地(土地+建物),1090925,1090721,住宅大樓(11層含以上有電梯),2,2,1,,有,84305,False,7,121.7636958,25.142240800000003
3107,109,正榮街115號八樓,中正區,0.0,房地(土地+建物),1090921,1090721,住宅大樓(11層含以上有電梯),2,2,1,,有,78897,False,8,121.7636958,25.142240800000003
3108,109,正榮街117號十四樓,中正區,0.0,房地(土地+建物)+車位,1090921,1090721,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,73203,False,14,121.7636958,25.142241100000003
3109,109,正榮街121號三樓,中正區,0.0,房地(土地+建物)+車位,1090922,1090721,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,63638,False,3,121.7632909,25.143207500000003
3110,109,正榮街113號十三樓,中正區,0.0,房地(土地+建物)+車位,1090919,1090721,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,69401,False,13,121.76369589999999,25.142240599999997
3111,109,正榮街121號八樓,中正區,0.0,房地(土地+建物)+車位,1090921,1090721,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,67376,False,8,121.7632909,25.143207500000003
3112,109,正榮街121號九樓,中正區,0.0,房地(土地+建物)+車位,1090921,1090721,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,67821,False,9,121.7632909,25.143207500000003
3113,109,源遠路282之8號,暖暖區,39.0,房地(土地+建物),1090914,0701214,公寓(5樓含以下無電梯),2,2,2,,無,43499,False,1,121.75741389999999,25.099105299999994
3114,109,東勢街26巷80之1號,暖暖區,0.0,房地(土地+建物)+車位,1090919,1090331,住宅大樓(11層含以上有電梯),2,2,1,坡道平面,有,76094,False,1,121.73811409999998,25.095723999999997
3115,109,明德二路15之46號12樓,七堵區,25.0,房地(土地+建物),1090914,0840801,住宅大樓(11層含以上有電梯),3,2,2,,有,57803,False,12,121.70544430000001,25.089333099999998
3116,109,樂利三街32巷20之2號,安樂區,39.0,房地(土地+建物),1090902,0701116,公寓(5樓含以下無電梯),3,1,2,,無,32921,False,1,121.7125892,25.126540300000002
3117,109,東勢街1之34號5樓,暖暖區,26.0,房地(土地+建物)+車位,1090927,0831121,華廈(10層含以下有電梯),3,2,2,坡道平面,有,37273,False,5,121.7363337,25.100103700000002
3118,109,源遠路277巷9之1號,暖暖區,40.0,房地(土地+建物),1090909,0690807,公寓(5樓含以下無電梯),2,1,1,,無,23227,False,1,121.75575180000001,25.0993801
3119,109,東勢街26巷80之2號10樓,暖暖區,0.0,房地(土地+建物)+車位,1090906,1090331,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,67895,False,10,121.73811409999998,25.095723999999997
3120,109,東勢街26巷82之1號6樓,暖暖區,0.0,房地(土地+建物)+車位,1090919,1090331,住宅大樓(11層含以上有電梯),2,2,1,坡道平面,有,68927,False,6,121.73811409999998,25.095723999999997
3121,109,工東街24號5樓之4,七堵區,25.0,房地(土地+建物)+車位,1090911,0841227,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,45022,False,5,121.70408499999998,25.088012
3122,109,東新街89巷21號,七堵區,33.0,房地(土地+建物),1090917,0761231,公寓(5樓含以下無電梯),2,2,2,,無,52552,False,1,121.6555408,25.070906049999994
3123,109,深溪路38巷6之7號九樓,信義區,3.0,房地(土地+建物)+車位,1090921,1061109,華廈(10層含以下有電梯),3,2,1,坡道平面,有,62475,False,9,121.78262830000001,25.1321846
3124,109,信一路63號十八樓之1,信義區,1.0,房地(土地+建物)+車位,1090922,1081230,住宅大樓(11層含以上有電梯),4,2,3,坡道平面,有,112274,False,18,121.75255469999999,25.1285523
3125,109,義七路78之3號,信義區,43.0,房地(土地+建物),1090929,0661121,公寓(5樓含以下無電梯),6,0,6,,無,55006,False,1,121.7547424,25.131912300000003
3126,109,崇法街55巷2之3號,信義區,43.0,房地(土地+建物),1090928,0660623,公寓(5樓含以下無電梯),3,2,2,,無,54695,False,1,121.7654823,25.1315687
3127,109,樂利三街63號5樓,安樂區,23.0,房地(土地+建物),1090924,0860117,住宅大樓(11層含以上有電梯),2,2,1,,有,52265,False,5,121.71416900000001,25.128228900000003
3128,109,綠葉街107巷130號,七堵區,21.0,房地(土地+建物),1090918,0880812,透天厝,3,1,3,,無,43806,False,1,121.66470190000001,25.089696699999998
3129,109,金華街269號11樓之1,暖暖區,24.0,房地(土地+建物)+車位,1090917,0850105,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,35142,False,11,121.62977495,25.0692744
3130,109,安一路185號4樓,安樂區,24.0,房地(土地+建物),1090926,0850325,華廈(10層含以下有電梯),2,1,1,,有,57129,False,4,121.73239299999999,25.132392
3131,109,中和路168巷5弄17號2樓,安樂區,23.0,房地(土地+建物),1090924,0860401,公寓(5樓含以下無電梯),3,1,2,,無,35711,False,2,121.7165684,25.1500151
3132,109,樂利三街38巷14之3號,安樂區,41.0,房地(土地+建物),1090921,0680228,公寓(5樓含以下無電梯),3,2,1,,無,36236,False,1,121.71390339999999,25.1266927
3133,109,明德一路58之1號,七堵區,35.0,房地(土地+建物),1090927,0740424,公寓(5樓含以下無電梯),3,2,2,,無,46590,False,1,121.71713849999998,25.0992066
3134,109,平三路27之4號,中正區,43.0,房地(土地+建物),1090904,0660518,公寓(5樓含以下無電梯),4,0,4,,無,24768,False,1,121.7632127,25.1555915
3135,109,仁二路51巷8號,仁愛區,54.0,房地(土地+建物),1090926,0551021,透天厝,4,2,3,,無,28614,False,1,121.14553795000002,24.5311036
3136,109,中正路335號四樓之二,中正區,13.0,房地(土地+建物),1090926,0960806,住宅大樓(11層含以上有電梯),2,2,1,,有,55701,False,4,121.0029204,24.09148495
