,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址
9454,110,新豐街162巷65號五樓,中正區,12.0,房地(土地+建物)+車位,1100131,0980602,華廈(10層含以下有電梯),3,2,2,坡道機械,有,48463,False
9455,110,中正路788巷1之3號,中正區,42.0,房地(土地+建物),1100319,0680522,公寓(5樓含以下無電梯),6,0,6,,無,54037,False
9456,110,觀海街178號4樓,中正區,22.0,房地(土地+建物),1100317,0880114,住宅大樓(11層含以上有電梯),3,2,2,,有,36949,False
9457,110,培德路179之3號,信義區,41.0,房地(土地+建物),1100122,0690418,公寓(5樓含以下無電梯),2,1,1,,無,39733,False
9458,110,武隆街103巷55弄14號3樓,安樂區,27.0,房地(土地+建物),1100228,0830505,公寓(5樓含以下無電梯),3,2,2,,無,25110,False
9459,110,西定路30巷8號,中山區,56.0,房地(土地+建物),1100125,0540900,透天厝,4,2,2,,無,35065,False
9460,110,樂利三街67號16樓,安樂區,24.0,房地(土地+建物)+車位,1100307,0860117,住宅大樓(11層含以上有電梯),3,2,2,坡道機械,有,40381,False
9461,110,中和路168巷6弄26號　　,安樂區,25.0,房地(土地+建物),1100130,0851202,公寓(5樓含以下無電梯),2,1,1,,無,35100,False
9462,110,樂利三街30巷19號2樓,安樂區,28.0,房地(土地+建物)+車位,1100228,0820504,華廈(10層含以下有電梯),4,2,2,坡道平面,有,45952,False
9463,110,碇內街93巷4號2樓,暖暖區,39.0,房地(土地+建物),1100306,0711204,公寓(5樓含以下無電梯),3,2,1,,無,19702,False
9464,110,福一街222之2號,七堵區,41.0,房地(土地+建物),1100317,0690925,公寓(5樓含以下無電梯),3,1,1,,無,41739,False
9465,110,安樂路一段150之10號6樓,安樂區,25.0,房地(土地+建物),1100321,0850508,住宅大樓(11層含以上有電梯),1,1,1,,有,62041,False
9466,110,樂利三街32巷10弄12之3號,安樂區,40.0,房地(土地+建物),1100218,0701116,公寓(5樓含以下無電梯),3,1,1,,無,36508,False
9467,110,源遠路193巷16之3號,暖暖區,41.0,房地(土地+建物),1100315,0690428,公寓(5樓含以下無電梯),3,2,2,,無,39385,False
9468,110,中和路164巷17號5樓,安樂區,23.0,房地(土地+建物),1100317,0871210,公寓(5樓含以下無電梯),3,2,2,,無,25338,False
9469,110,孝二路29巷15之2號,仁愛區,41.0,房地(土地+建物),1100313,0690917,公寓(5樓含以下無電梯),3,2,1,,無,60625,False
9470,110,新豐街138號4樓,中正區,25.0,房地(土地+建物),1100315,0850607,華廈(10層含以下有電梯),4,2,3,,有,39176,False
9471,110,祥豐街62號四樓,中正區,38.0,房地(土地+建物),1100316,0720303,公寓(5樓含以下無電梯),3,2,2,,無,38497,False
9472,110,東信路63巷16之1號,信義區,45.0,房地(土地+建物),1100315,0650626,公寓(5樓含以下無電梯),3,2,1,,無,37858,False
9473,110,東信路35巷98之3號,信義區,43.0,房地(土地+建物),1100311,0670529,公寓(5樓含以下無電梯),3,2,1,,無,25647,False
9474,110,新豐街256號4樓,中正區,25.0,房地(土地+建物),1100301,0851129,住宅大樓(11層含以上有電梯),1,0,1,,有,49775,False
9475,110,中正路318巷119號底層,中正區,42.0,房地(土地+建物),1100227,0681006,公寓(5樓含以下無電梯),3,2,1,,無,33416,False
9476,110,碇內街111之1號11樓,暖暖區,12.0,房地(土地+建物)+車位,1100214,0980624,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,41859,False
