,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址
5827,107,臺北市北投區幽雅路7號5樓之5,北投區,9.0,房地(土地+建物)+車位,1070201,0980205,套房(1房1廳1衛),0,0,1,坡道機械,無,112654,False
5828,106,臺北市南港區經貿二路235巷29號7樓,南港區,3.0,房地(土地+建物)+車位,1061208,1031204,住宅大樓(11層含以上有電梯),4,2,3,坡道平面,有,209631,False
5829,106,臺北市大安區新生南路二段2號11樓之2,大安區,31.0,房地(土地+建物),1061105,0751006,住宅大樓(11層含以上有電梯),4,2,2,,有,282429,False
5830,106,臺北市士林區中山北路七段216巷3之2號6樓,士林區,37.0,房地(土地+建物)+車位,1061213,0691115,華廈(10層含以下有電梯),4,2,2,坡道平面,有,132212,False
5831,107,臺北市士林區天母北路9巷10號7樓,士林區,1.0,房地(土地+建物)+車位,1070111,1060428,華廈(10層含以下有電梯),2,2,1,塔式車位,有,321056,False
5832,107,臺北市士林區大西路74巷3號,士林區,46.0,房地(土地+建物),1070112,0610307,公寓(5樓含以下無電梯),0,0,0,,無,65574,False
5833,107,臺北市中山區林森北路481號10樓之7,中山區,15.0,房地(土地+建物),1070115,0920122,其他,2,1,1,,無,191445,False
5834,106,臺北市中山區錦西街18號5樓,中山區,36.0,房地(土地+建物),1061219,0700731,華廈(10層含以下有電梯),2,2,2,,有,181840,False
5835,107,臺北市中山區撫順街2號7樓之6,中山區,23.0,房地(土地+建物),1070114,0840823,套房(1房1廳1衛),1,1,1,,無,169283,False
5836,107,臺北市內湖區大湖山莊街224號8樓,內湖區,25.0,房地(土地+建物),1070118,0820729,套房(1房1廳1衛),1,1,1,,無,168963,False
5837,107,臺北市北投區中央北路三段15號二樓,北投區,37.0,房地(土地+建物),1070104,0700507,公寓(5樓含以下無電梯),3,2,2,,無,43131,False
5838,106,臺北市士林區中山北路七段38巷12弄6號,士林區,13.0,房地(土地+建物)+車位,1061228,0931119,套房(1房1廳1衛),1,1,1,升降平面,無,183729,False
5839,107,臺北市士林區福華路156號,士林區,47.0,房地(土地+建物),1070110,0601231,店面(店鋪),1,2,1,,無,510343,False
5840,107,臺北市大安區敦南街88號八樓,大安區,2.0,房地(土地+建物)+車位,1070108,1051005,住宅大樓(11層含以上有電梯),4,2,4,坡道平面,有,326841,False
5841,106,臺北市大安區敦化南路一段187巷37號5樓之4,大安區,22.0,房地(土地+建物),1061226,0840809,套房(1房1廳1衛),2,2,2,,無,306583,False
5842,106,臺北市大安區泰順街50巷9號3樓之1,大安區,12.0,房地(土地+建物),1061222,0941017,套房(1房1廳1衛),1,1,1,,無,261561,False
5843,107,臺北市文山區辛亥路六段37號2樓,文山區,10.0,房地(土地+建物)+車位,1070103,0970521,住宅大樓(11層含以上有電梯),4,2,2,坡道平面,有,154725,False
5844,107,臺北市大安區復興南路二段193巷17號十樓,大安區,33.0,房地(土地+建物),1070129,0740522,住宅大樓(11層含以上有電梯),3,2,2,,有,212502,False
5845,107,臺北市南港區向陽路258巷98號5樓之5,南港區,10.0,房地(土地+建物)+車位,1070106,0971009,華廈(10層含以下有電梯),2,2,1,坡道平面,有,148041,False
5846,106,臺北市信義區忠孝東路五段71巷12弄10號二樓之7,信義區,8.0,房地(土地+建物)+車位,1061231,0980810,套房(1房1廳1衛),0,0,0,坡道機械,無,305306,False
5847,106,臺北市信義區忠孝東路五段71巷12弄10號六樓之6,信義區,8.0,房地(土地+建物)+車位,1061231,0980810,套房(1房1廳1衛),0,0,0,升降機械,無,305306,False
5848,106,臺北市信義區虎林街141巷12號四樓,信義區,46.0,房地(土地+建物),1061218,0600726,公寓(5樓含以下無電梯),2,1,1,,無,133474,False
5849,107,臺北市信義區信義路五段109號七樓之7,信義區,21.0,房地(土地+建物),1070126,0860926,套房(1房1廳1衛),1,1,1,,無,209832,False
5850,107,臺北市內湖區金龍路222巷12號六樓之1,內湖區,25.0,房地(土地+建物),1070123,0821213,住宅大樓(11層含以上有電梯),1,1,1,,有,175983,False
