,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,主要建材,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址
2774,106,臺北市中正區齊東街82巷25號3樓,中正區,32.0,房地(土地+建物),1060112,0741230,套房(1房1廳1衛),鋼筋混凝土造,1,1,1,,無,199911,False
2775,105,臺北市內湖區民權東路六段407號5樓之1,內湖區,11.0,房地(土地+建物)+車位,1051229,0940914,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,204202,False
2776,106,臺北市中山區松江路2號9樓之6,中山區,36.0,房地(土地+建物),1060207,0701208,套房(1房1廳1衛),鋼筋混凝土造,0,0,0,,無,175029,False
2777,105,臺北市士林區社中街289號3樓,士林區,37.0,房地(土地+建物),1051217,0681113,公寓(5樓含以下無電梯),鋼筋混凝土造,4,2,2,,無,98419,False
2778,106,臺北市士林區永平街36巷6號,士林區,37.0,房地(土地+建物),1060203,0690808,公寓(5樓含以下無電梯),鋼筋混凝土造,2,2,1,,無,124068,False
2779,105,臺北市士林區蘭雅里19鄰中山北路六段450巷6弄3號,士林區,44.0,房地(土地+建物),1051211,0611129,公寓(5樓含以下無電梯),鋼筋混凝土造,4,2,2,,無,260885,False
2780,106,臺北市北投區承德路七段188巷19號四樓,北投區,44.0,房地(土地+建物),1060106,0621024,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,150889,False
2781,105,臺北市士林區天母北路28巷39號三樓之5,士林區,8.0,房地(土地+建物)+車位,1051223,0970130,華廈(10層含以下有電梯),鋼筋混凝土造,1,1,1,塔式車位,有,219769,False
2782,106,臺北市文山區辛亥路五段94號3樓,文山區,34.0,房地(土地+建物),1060108,0720211,華廈(10層含以下有電梯),鋼筋混凝土造,4,2,2,,有,105065,False
2784,106,臺北市松山區三民路108號七樓之11,松山區,43.0,房地(土地+建物),1060115,0630815,華廈(10層含以下有電梯),鋼筋混凝土造,2,2,2,,有,167983,False
2785,105,臺北市松山區三民路101巷26號二樓,松山區,45.0,房地(土地+建物),1051231,0601220,公寓(5樓含以下無電梯),鋼筋混凝土造,4,2,2,,無,185236,False
2786,106,臺北市松山區南京東路五段341號10樓之1,松山區,22.0,房地(土地+建物),1060122,0841213,套房(1房1廳1衛),鋼筋混凝土造,1,1,1,,無,251061,False
2787,106,臺北市內湖區內湖路2段265號11樓之3,內湖區,1.0,房地(土地+建物)+車位,1060209,1050601,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,坡道平面,有,224729,False
2788,106,臺北市中山區新生北路二段68巷8號八樓之8,中山區,1.0,房地(土地+建物)+車位,1060210,1050602,住宅大樓(11層含以上有電梯),見其他登記事項,2,1,1,坡道平面,有,286128,False
2789,106,臺北市萬華區萬青街202號7樓,萬華區,13.0,房地(土地+建物)+車位,1060120,0931028,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,坡道平面,有,143196,False
2790,106,臺北市內湖區民權東路六段256號3樓之2,內湖區,9.0,房地(土地+建物)+車位,1060110,0971128,華廈(10層含以下有電梯),鋼筋混凝土造,1,1,1,塔式車位,有,175568,False
2791,106,臺北市萬華區和平西路三段309巷15弄5號3樓,萬華區,40.0,房地(土地+建物),1060107,0660128,公寓(5樓含以下無電梯),鋼筋混凝土造,2,1,1,,無,97937,False
