,交易年份,屋齡,交易標的,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,floor,車位類別-坡道平面,車位類別-坡道機械,車位類別-升降平面,車位類別-升降機械,車位類別-一樓平面,車位類別-塔式車位,車位類別-其他,建物型態-公寓,建物型態-華廈,建物型態-住宅大樓,建物型態-套房,建物型態-透天,NEAR_HOSTIPAL_250,NEAR_HOSTIPAL_500,NEAR_HOSTIPAL_750,CLINIC_COUNT_250,CLINIC_COUNT_500,CLINIC_COUNT_750,DENTIST_COUNT_250,DENTIST_COUNT_500,DENTIST_COUNT_750,PHARMACY_COUNT_250,PHARMACY_COUNT_500,PHARMACY_COUNT_750,CSTORE_COUNT_250,CSTORE_COUNT_500,CSTORE_COUNT_750,FASTFOOD_COUNT_250,FASTFOOD_COUNT_500,FASTFOOD_COUNT_750,LIBRARY_COUNT_250,LIBRARY_COUNT_500,LIBRARY_COUNT_750,NEAR_SCHOOL_250,NEAR_SCHOOL_500,NEAR_SCHOOL_750,NEAR_UNIVERSITY_250,NEAR_UNIVERSITY_500,NEAR_UNIVERSITY_750,NEAR_FIRESTATION_250,NEAR_FIRESTATION_500,NEAR_FIRESTATION_750,NEAR_FUEL_250,NEAR_FUEL_500,NEAR_FUEL_750,NEAR_MARKET_250,NEAR_MARKET_500,NEAR_MARKET_750,NEAR_POLICE_250,NEAR_POLICE_500,NEAR_POLICE_750,TEMPLE_COUNT_250,TEMPLE_COUNT_500,TEMPLE_COUNT_750,CEMETERY_AREA_250,CEMETERY_AREA_500,CEMETERY_AREA_750,PARK_AREA_250,PARK_AREA_500,PARK_AREA_750,WATER_AREA_250,WATER_AREA_500,WATER_AREA_750,PARKING_AREA_250,PARKING_AREA_500,PARKING_AREA_750,STOP_COUNT_250,STOP_COUNT_500,STOP_COUNT_750,NEAR_MRT_250,NEAR_MRT_500,NEAR_MRT_750,NEAR_TRA_250,NEAR_TRA_500,NEAR_TRA_750,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,y,0
186,111,52.0,0,2,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1,0.0,4.0,14.0,0.0,3.0,14.0,0.0,5.0,10.0,2.0,8.0,19.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,0,0,1,0.0,1.0,9.0,0.0,0.0,0.0,18141.20873615584,95055.16025299384,293038.9439627244,43372.30203577133,209875.1335722825,364263.6964469237,5829.492130966577,16619.882623460155,51542.92647098812,2.0,13.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,92092,133768.7
187,111,52.0,0,2,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1,0.0,4.0,14.0,0.0,3.0,14.0,0.0,5.0,10.0,2.0,8.0,19.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,0,0,1,0.0,1.0,9.0,0.0,0.0,0.0,18251.626595372712,95445.730117167,292850.17806376534,43499.07520004398,209612.02024311625,364345.928502546,5732.787216786755,16619.882623460155,51095.44161998631,2.0,13.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90710,133918.3
188,111,12.0,1,2,1,1,1,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,4.0,8.0,12.0,0.0,2.0,6.0,0.0,0.0,3.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,1,0.0,0.0,2.0,0.0,0.0,0.0,72936.9069931483,408115.7669419986,582842.3620832869,0.0,15998.409402141971,477668.65381815424,33385.174162979805,82053.01174013146,114203.5879470456,2.0,6.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,116366,141192.42
189,111,5.0,0,3,2,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,4.0,18.0,43.0,6.0,13.0,20.0,2.0,11.0,15.0,9.0,22.0,34.0,0.0,2.0,3.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1,1,0.0,1.0,1.0,0.0,0.0,1.0,0,1,1,3.0,5.0,9.0,0.0,0.0,0.0,3335.439437676857,10782.337197314202,99080.14906812702,0.0,0.0,95940.72442597253,0.0,540.9337686855779,6125.542623552436,8.0,22.0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,156736,157114.83
190,111,42.0,0,0,0,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,20.0,46.0,99.0,12.0,27.0,54.0,3.0,10.0,19.0,14.0,46.0,76.0,3.0,4.0,11.0,3.0,4.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1,1,0.0,0.0,1.0,1.0,1.0,1.0,1,1,1,3.0,17.0,29.0,0.0,0.0,0.0,13690.113586396616,35896.66590773377,97571.81903982427,0.0,0.0,0.0,2762.545996237335,12531.585379728076,49254.05607928085,5.0,21.0,60.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,172024,223160.52
191,111,46.0,0,3,2,2,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,24.0,61.0,98.0,7.0,27.0,50.0,1.0,9.0,19.0,6.0,39.0,76.0,2.0,9.0,12.0,2.0,9.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1,3.0,5.0,18.0,0.0,0.0,0.0,18577.331593792103,46410.079744702896,100320.01487027,0.0,0.0,0.0,3321.1596670633085,9066.705169653014,59420.94070530014,6.0,23.0,106.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,207983,281616.5
192,111,40.0,0,3,2,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,7.0,25.0,55.0,2.0,12.0,34.0,2.0,10.0,18.0,4.0,16.0,37.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1,0.0,1.0,3.0,0.0,0.0,0.0,30305.200066740646,56886.39011042888,126559.66037170432,5240.809524373336,10112.709504115845,16520.747952832167,0.0,8846.187481971729,35259.59531914375,2.0,14.0,41.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,227130,198622.08
193,111,43.0,0,3,2,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1,1.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,13510.772048455468,218708.9322003213,405771.3036863077,364.5693276877609,73700.93587009935,355238.70785681944,4095.440042067272,27782.39917363396,47816.12043821972,3.0,10.0,19.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,122844,86758.32
194,111,41.0,0,4,2,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,7.0,22.0,46.0,3.0,22.0,50.0,4.0,12.0,20.0,3.0,15.0,34.0,0.0,2.0,3.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,54872.65358689959,125811.3966784429,0.0,1433.143107577849,7748.087259007407,4699.887444651698,13690.460842673916,24550.516840252574,4.0,14.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,199723,165280.02
195,111,10.0,1,3,2,2,1,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1.0,4.0,10.0,1.0,3.0,10.0,0.0,4.0,6.0,4.0,9.0,16.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,1.0,3.0,6.0,0.0,0.0,0.0,32233.387618452307,95402.89156922854,139977.74769421414,0.0,0.0,143.53430903840578,7942.558181137087,14218.995872818325,29878.33563485129,4.0,17.0,33.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,173297,217877.89
