,土地位置建物門牌,屋齡,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,單價元平方公尺,修正地址
1047,臺北市大安區瑞安街208巷39號五樓之2,7,1,0,1,有,334690,False
1049,臺北市大安區樂業街72巷18號八樓,1,2,2,1,有,314113,False
1152,臺北市大安區信義路三段192號十二樓之2,40,1,0,1,有,321958,False
1153,臺北市大安區敦化南路一段161巷30號四樓,54,3,2,2,無,277215,False
1157,臺北市大安區信義路二段30號八樓,41,3,2,3,有,277619,False
1193,臺北市大安區仁愛路四段345巷4弄5號四樓,49,4,2,2,有,301741,False
1234,臺北市大安區敦化南路一段190巷24號六樓,53,4,2,2,有,272433,False
1366,臺北市大安區敦化南路二段63巷53弄14號三樓,37,3,2,2,有,303876,False
1367,臺北市大安區建國南路二段9號四樓之1,33,4,2,2,有,286264,False
1401,臺北市大安區信義路四段199巷12號四樓,40,3,2,2,有,296307,False
1431,臺北市大安區忠孝東路四段181巷41號三樓之2,34,1,1,1,有,290742,False
1433,臺北市大安區和平東路三段1巷52號四樓,37,3,2,1,有,266614,False
1434,臺北市大安區安和路二段82號五樓之3,42,3,2,2,有,300919,False
1435,臺北市大安區敦化南路一段177巷30號八樓之1,14,1,1,1,有,425176,False
1545,臺北市大安區和平東路三段1巷38號十四樓,37,3,2,1,有,203796,False
1546,臺北市大安區和平東路三段346巷2之1號四樓之2,40,3,2,2,有,223755,False
1550,臺北市大安區忠孝東路四段126之16號,53,2,2,3,有,317806,False
1551,臺北市大安區忠孝東路四段205巷24號四樓,44,4,2,2,有,242137,False
1593,臺北市大安區樂業街68號五樓,41,3,2,2,有,172704,False
1630,臺北市大安區浦城街13巷12之1號,52,6,0,2,無,242819,False
1752,臺北市大安區敦化南路二段128號八樓之2,43,4,2,2,有,288116,False
1759,臺北市大安區市民大道四段118號二樓,34,1,1,1,有,251494,False
1760,臺北市大安區通化街176巷8號六樓,40,3,2,2,有,241929,False
1814,臺北市大安區光復南路696號五樓之3,10,2,2,2,有,308751,False
1816,臺北市大安區延吉街256之1號四樓,38,3,2,2,有,261218,False
1821,臺北市大安區延吉街241巷2弄9號六樓,40,3,2,2,有,290323,False
1847,臺北市大安區信義路四段265巷31弄7之3號,44,3,2,2,有,302572,False
1848,臺北市大安區忠孝東路四段216巷40弄18號二樓,39,3,2,2,有,266477,False
1972,臺北市大安區安居街9巷13號二樓,43,3,2,2,無,179867,False
1998,臺北市大安區敦化南路一段329巷12號三樓,39,3,2,1,有,296221,False
2000,臺北市大安區和平東路一段55巷1弄4號十樓,31,4,2,2,有,289193,False
2076,臺北市大安區金山南路二段215巷18號三樓,56,4,2,2,無,295453,False
2205,臺北市大安區羅斯福路二段79號九樓之7,33,0,1,1,有,252583,False
2206,臺北市大安區臥龍街151巷70弄15號二樓,40,3,2,2,無,185790,False
2269,臺北市大安區建國南路二段115號十六樓,36,3,2,2,有,284874,False
2274,臺北市大安區敦化南路二段46號六樓之7,47,1,1,1,有,298226,False
2275,臺北市大安區復興南路二段180巷29號三樓之1,44,3,2,2,無,260763,False
2276,臺北市大安區辛亥路二段171巷16弄2號四樓,51,3,2,2,無,292110,False
2277,臺北市大安區仁愛路三段118巷12弄18之6號二樓之1,46,2,2,2,有,359470,False
2279,臺北市大安區雲和街121之3號,51,2,1,1,無,260003,False
2329,臺北市大安區樂利路28巷4號,43,5,4,2,無,262315,False
2330,臺北市大安區和平東路二段96巷51號五樓,12,1,1,1,有,289600,False
2469,臺北市大安區大安路一段8之1號四樓,43,1,2,1,有,284824,False
2471,臺北市大安區仁愛路四段300巷17弄1號,38,0,2,2,有,300021,False
2513,臺北市大安區仁愛路四段433號四樓,34,2,2,2,有,427357,False
2518,臺北市大安區敦化南路一段270巷10號二樓,45,6,2,3,有,258601,False
2560,臺北市大安區通化街101巷2號五樓,42,3,2,2,無,174887,False
2561,臺北市大安區金山南路二段18號三樓之3,42,0,3,3,有,260050,False
2562,臺北市大安區光復南路696號十二樓之1,10,1,1,1,有,320375,False
2563,臺北市大安區復興南路二段17號九樓之2,37,2,2,1,有,347442,False
2675,臺北市大安區信義路三段105號十二樓之7,15,0,1,1,有,420168,False
2677,臺北市大安區仁愛路四段122巷20號三樓,40,4,2,2,有,271675,False
2719,臺北市大安區敦化南路一段177巷46號三樓,2,1,1,1,有,419800,False
2720,臺北市大安區敦化南路一段177巷46號三樓之1,2,1,1,1,有,418185,False
2721,臺北市大安區敦化南路一段177巷46號三樓之2,2,1,1,1,有,424694,False
2722,臺北市大安區忠孝東路四段233號九樓之9,40,0,0,0,有,292547,False
2723,臺北市大安區仁愛路四段445號五樓,34,3,2,2,有,340554,False
2724,臺北市大安區新生南路三段20之1號三樓,44,4,1,2,有,242862,False
2917,臺北市大安區安居街98巷14號,44,4,1,2,無,233077,False
2918,臺北市大安區建國南路一段341巷3號五樓,36,3,2,2,有,291746,False
2920,臺北市大安區忠孝東路三段234號十三樓之1,34,3,1,2,有,227431,False
2960,臺北市大安區敦化南路一段177巷46號八樓,2,0,0,0,有,499371,False
2961,臺北市大安區忠孝東路三段305號九樓之4,39,0,0,0,有,295366,False
2962,臺北市大安區敦化南路二段172巷22號二樓,3,3,2,2,有,357296,False
2964,臺北市大安區忠孝東路三段248巷19弄44號三樓,39,3,2,1,無,250442,False
3004,臺北市大安區復興南路一段135巷15號八樓之2,49,1,1,1,有,343778,False
3126,臺北市大安區建國南路一段160號二樓之1,46,0,0,0,有,238923,False
3169,臺北市大安區復興南路二段151巷30弄21號十九樓,37,3,2,1,有,261599,False
3170,臺北市大安區信義路四段263號七樓之5,45,2,2,1,有,352065,False
3209,臺北市大安區新生南路一段145巷19號五樓,41,2,2,1,無,272574,False
3214,臺北市大安區仁愛路四段125號十樓之1,45,3,2,2,有,377923,False
3215,臺北市大安區四維路182巷3號六樓,41,3,2,2,有,295370,False
3217,臺北市大安區復興南路二段90巷12號十樓之6,14,1,0,1,有,366093,False
3218,臺北市大安區安和路一段100號,44,0,0,0,有,546798,False
3363,臺北市大安區師大路92巷1號四樓,37,4,2,2,有,235644,False
3503,臺北市大安區大安路二段80號五樓之2,1,3,2,2,有,435627,False
3504,臺北市大安區敦化南路一段200號五樓之17,49,1,1,1,有,328146,False
3505,臺北市大安區和平東路二段90巷2號八樓之5,40,0,0,0,有,289017,False
3506,臺北市大安區建國南路一段212巷13號四樓,44,2,2,2,有,323293,False
3640,臺北市大安區安和路二段60號三樓之3,43,2,2,1,有,326230,False
3683,臺北市大安區大安路二段80號八樓之2,1,3,2,2,有,434592,False
3685,臺北市大安區安和路一段112巷27號二樓,40,3,2,2,有,264170,False
3733,臺北市大安區忠孝東路三段248巷11號,40,3,2,1,有,346601,False
3736,臺北市大安區仁愛路四段37之125號,50,4,2,2,有,332704,False
3933,臺北市大安區泰順街54巷9號五樓,43,3,2,2,無,235131,False
3968,臺北市大安區敦化南路一段177巷30號五樓之3,14,1,1,1,有,366048,False
3969,臺北市大安區浦城街13巷9號三樓之9,15,1,0,1,有,353453,False
3971,臺北市大安區仁愛路四段266巷15弄8號四樓,42,4,2,2,有,280013,False
4006,臺北市大安區四維路208巷14號四樓,53,1,2,1,無,297848,False
4010,臺北市大安區延吉街131巷45號四樓之1,40,3,2,2,有,252828,False
4114,臺北市大安區敦化南路二段98號四樓之1,37,3,2,2,有,330160,False
4116,臺北市大安區四維路170巷22號二樓,47,0,2,1,無,251153,False
4151,臺北市大安區敦化南路一段233巷66號五樓,48,4,2,2,有,283198,False
4203,臺北市大安區信義路三段134巷96號三樓,36,3,2,2,有,224593,False
4206,臺北市大安區安居街54號三樓,44,3,2,2,無,159557,False
4295,臺北市大安區樂業街55號四樓,38,3,2,1,無,182873,False
4296,臺北市大安區杭州南路二段61巷30號三樓,39,3,2,2,有,272875,False
4300,臺北市大安區忠孝東路四段216巷58號二樓之1,46,4,2,2,有,280759,False
4338,臺北市大安區安居街8巷13號三樓,40,4,2,2,有,187640,False
4393,臺北市大安區忠孝東路四段112號三樓之1,47,1,1,1,有,285714,False
4396,臺北市大安區安和路二段21號九樓,38,3,2,2,有,343552,False
4552,臺北市大安區瑞安街135巷26號三樓,39,3,2,2,有,226860,False
4554,臺北市大安區忠孝東路三段248巷13弄4之2號,40,2,2,2,有,259197,False
4595,臺北市大安區安和路一段49巷21號四樓,46,3,2,2,有,280238,False
4596,臺北市大安區安和路一段32號八樓之3,45,3,2,2,有,335076,False
4597,臺北市大安區大安路二段82號四樓之1,1,0,0,0,有,425565,False
4599,臺北市大安區大安路二段82號四樓,1,0,0,0,有,425533,False
4755,臺北市大安區建國南路一段291巷7號十二樓,35,3,2,2,有,281372,False
4757,臺北市大安區忠孝東路四段181巷7弄13號三樓之6,54,0,1,1,有,241592,False
4794,臺北市大安區忠孝東路四段112號十二樓之2,47,2,1,1,有,302632,False
4994,臺北市大安區溫州街83號四樓,42,2,2,1,有,328193,False
5050,臺北市大安區仁愛路四段37之35號,50,5,2,2,有,294918,False
5085,臺北市大安區延吉街157之1號五樓,41,4,2,2,有,233373,False
5086,臺北市大安區大安路一段176巷14號五樓,35,4,2,2,有,301713,False
5087,臺北市大安區安和路二段205號十樓,31,4,2,2,有,317654,False
5088,臺北市大安區敦化南路二段172巷14號,44,3,2,2,無,320656,False
5216,臺北市大安區辛亥路三段157巷24弄6號三樓,43,2,2,1,無,162234,False
5218,臺北市大安區金山南路二段159巷39號四樓,36,3,2,2,無,291748,False
5287,臺北市大安區仁愛路四段62號十三樓之6,45,1,0,1,有,314601,False
5472,臺北市大安區仁愛路三段125號二樓,41,0,0,2,有,368296,False
5474,臺北市大安區延吉街160巷9號五樓,43,4,2,2,有,271953,False
5476,臺北市大安區復興南路二段157號十二樓之7,43,1,1,1,有,264971,False
5576,臺北市大安區瑞安街65之1號二樓之1,41,4,2,2,有,281118,False
5577,臺北市大安區溫州街74巷4弄2號,43,2,2,1,有,362945,False
5578,臺北市大安區和平東路二段99號十二樓,38,3,2,2,有,300350,False
5579,臺北市大安區溫州街11巷7號四樓,36,4,2,2,無,272136,False
5580,臺北市大安區復興南路二段90巷12號七樓之1,14,1,1,1,有,360568,False
5709,臺北市大安區敦化南路二段98號二十六樓之1,37,3,2,2,有,381764,False
5934,臺北市大安區敦化南路二段63巷15號五樓,41,3,2,2,有,319750,False
5939,臺北市大安區和平東路三段20號十樓之1,34,1,2,1,有,290840,False
6135,臺北市大安區安東街52之1號七樓,45,3,2,2,有,298493,False
6137,臺北市大安區安居街8巷3號五樓,38,3,2,2,有,219822,False
6140,臺北市大安區溫州街89號三樓,52,4,2,2,無,255970,False
6142,臺北市大安區和平東路二段265巷27號四樓,40,3,2,2,無,259830,False
6176,臺北市大安區敦化南路二段46號九樓之14,47,1,1,1,有,311364,False
6228,臺北市大安區光復南路96巷12號,41,0,1,1,有,318858,False
6230,臺北市大安區敦化南路二段146巷2號十四樓,37,2,2,2,有,256392,False
6232,臺北市大安區復興南路一段253巷46號七樓之4,43,1,1,1,有,392491,False
6333,臺北市大安區光復南路240巷3號十一樓,44,3,2,2,有,360288,False
6335,臺北市大安區信義路四段60之80號六樓,51,0,0,0,無,235413,False
6338,臺北市大安區忠孝東路四段170巷5弄10號四樓,35,3,2,2,有,330625,False
6374,臺北市大安區通化街117號三樓,45,0,1,1,有,186404,False
6375,臺北市大安區泰順街62巷12弄7之2號,52,2,2,1,無,262030,False
6416,臺北市大安區復興南路二段151巷30弄11號十六樓,37,2,2,1,有,266252,False
6529,臺北市大安區大安路二段33號四樓,29,2,2,1,有,326875,False
6530,臺北市大安區羅斯福路三段261之1號十三樓之1,12,2,1,1,有,263971,False
6532,臺北市大安區忠孝東路三段276巷12號五樓,40,3,1,1,無,192765,False
6533,臺北市大安區安和路一段55號四樓之1,40,3,2,2,有,361178,False
6566,臺北市大安區羅斯福路三段283巷13號二樓,55,4,2,2,無,252966,False
6592,臺北市大安區臥龍街31巷5號八樓,31,5,2,5,有,282867,False
6594,臺北市大安區和平東路二段96巷17弄14之1號四樓,37,3,2,2,無,276298,False
6595,臺北市大安區麗水街21巷6號三樓,40,3,2,2,無,295956,False
6698,臺北市大安區泰順街50巷30號四樓,42,3,2,2,無,262998,False
6699,臺北市大安區和平東路一段199巷7號二樓之1,16,3,2,1,有,399818,False
6700,臺北市大安區大安路二段82號三樓,1,0,0,0,有,413060,False
6702,臺北市大安區大安路二段80號二樓之1,1,4,2,2,有,418502,False
6705,臺北市大安區四維路6巷2號四樓,41,3,2,2,有,276786,False
6706,臺北市大安區仁愛路四段300巷9弄2號二樓,38,4,2,2,有,266204,False
6749,臺北市大安區敦化南路一段313號五樓之1,43,1,1,1,有,349308,False
6757,臺北市大安區通化街38巷18弄6號三樓,41,1,2,1,無,244575,False
6941,臺北市大安區安和路一段32號三樓之2,45,1,1,1,有,351357,False
6942,臺北市大安區大安路一段52巷5號五樓,45,3,2,2,有,338271,False
6943,臺北市大安區忠孝東路四段226號七樓,44,4,2,2,有,284970,False
6947,臺北市大安區忠孝東路四段224號七樓,44,4,2,2,有,272220,False
