,土地位置建物門牌,屋齡,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,單價元平方公尺,修正地址,lon,lat
1433,臺北市大安區和平東路三段1巷52號四樓,37,3,2,1,有,266614,False,121.5465937,25.0271654
1434,臺北市大安區安和路二段82號五樓之3,42,3,2,2,有,300919,False,121.55094729999999,25.029539099999997
1435,臺北市大安區敦化南路一段177巷30號八樓之1,14,1,1,1,有,425176,False,121.550541,25.0429203
1545,臺北市大安區和平東路三段1巷38號十四樓,37,3,2,1,有,203796,False,121.54662699999999,25.0260115
1546,臺北市大安區和平東路三段346巷2之1號四樓之2,40,3,2,2,有,223755,False,121.55705100000002,25.019475
1550,臺北市大安區忠孝東路四段126之16號,53,2,2,3,有,317806,False,121.54744059999999,25.041023
1551,臺北市大安區忠孝東路四段205巷24號四樓,44,4,2,2,有,242137,False,121.55192450000001,25.0431709
1593,臺北市大安區樂業街68號五樓,41,3,2,2,有,172704,False,121.5505098,25.022044299999997
1630,臺北市大安區浦城街13巷12之1號,52,6,0,2,無,242819,False,121.5274819,25.0244591
1752,臺北市大安區敦化南路二段128號八樓之2,43,4,2,2,有,288116,False,121.5484236,25.026082799999998
1759,臺北市大安區市民大道四段118號二樓,34,1,1,1,有,251494,False,121.5510716,25.044350700000003
1760,臺北市大安區通化街176巷8號六樓,40,3,2,2,有,241929,False,121.55275329999999,25.027767599999997
1814,臺北市大安區光復南路696號五樓之3,10,2,2,2,有,308751,False,121.5571642,25.029766099999996
1816,臺北市大安區延吉街256之1號四樓,38,3,2,2,有,261218,False,121.55639660000001,25.0341825
1821,臺北市大安區延吉街241巷2弄9號六樓,40,3,2,2,有,290323,False,121.5560074,25.0357118
1847,臺北市大安區信義路四段265巷31弄7之3號,44,3,2,2,有,302572,False,121.55550969999999,25.034513
1848,臺北市大安區忠孝東路四段216巷40弄18號二樓,39,3,2,2,有,266477,False,121.55219120000001,25.0393117
1972,臺北市大安區安居街9巷13號二樓,43,3,2,2,無,179867,False,121.555638,25.0208879
1998,臺北市大安區敦化南路一段329巷12號三樓,39,3,2,1,有,296221,False,121.54989609999998,25.034048499999997
2000,臺北市大安區和平東路一段55巷1弄4號十樓,31,4,2,2,有,289193,False,121.52455259999999,25.027491899999998
2076,臺北市大安區金山南路二段215巷18號三樓,56,4,2,2,無,295453,False,121.52708159999999,25.027610799999998
2205,臺北市大安區羅斯福路二段79號九樓之7,33,0,1,1,有,252583,False,121.52340679999999,25.026155199999998
2206,臺北市大安區臥龍街151巷70弄15號二樓,40,3,2,2,無,185790,False,121.55196620000001,25.020418799999998
2269,臺北市大安區建國南路二段115號十六樓,36,3,2,2,有,284874,False,121.53837249999998,25.0297707
2274,臺北市大安區敦化南路二段46號六樓之7,47,1,1,1,有,298226,False,121.5483739,25.0312217
2275,臺北市大安區復興南路二段180巷29號三樓之1,44,3,2,2,無,260763,False,121.541538,25.027515899999997
2276,臺北市大安區辛亥路二段171巷16弄2號四樓,51,3,2,2,無,292110,False,121.5409315,25.0222771
2277,臺北市大安區仁愛路三段118巷12弄18之6號二樓之1,46,2,2,2,有,359470,False,121.53890639999999,25.036882000000002
2279,臺北市大安區雲和街121之3號,51,2,1,1,無,260003,False,121.53304100000001,25.023218300000003
2329,臺北市大安區樂利路28巷4號,43,5,4,2,無,262315,False,121.55117919999999,25.0268741
2330,臺北市大安區和平東路二段96巷51號五樓,12,1,1,1,有,289600,False,121.5403195,25.021802599999997
2469,臺北市大安區大安路一段8之1號四樓,43,1,2,1,有,284824,False,121.5461345,25.044694199999995
2471,臺北市大安區仁愛路四段300巷17弄1號,38,0,2,2,有,300021,False,121.55486219999997,25.036745099999997
2513,臺北市大安區仁愛路四段433號四樓,34,2,2,2,有,427357,False,121.55670930000001,25.038056100000002
2518,臺北市大安區敦化南路一段270巷10號二樓,45,6,2,3,有,258601,False,121.54771430000001,25.038894400000004
2560,臺北市大安區通化街101巷2號五樓,42,3,2,2,無,174887,False,121.5543711,25.029523400000002
2561,臺北市大安區金山南路二段18號三樓之3,42,0,3,3,有,260050,False,121.52690589999997,25.0332237
