,屋齡,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,NEAR_CEMETERY,NEAR_UNIVERSITY,NEAR_FIRESTATION,NEAR_FUEL,NEAR_LIBRARY,NEAR_MARKET,PARK_AREA,PARKING_AREA,TEMPLE_COUNT,NEAR_POLICE,NEAR_SCHOOL,NEAR_STATION,HOSPITAL_COUNT,CSTORE_COUNT,單價元平方公尺
160,37,3,2,2,1,0,1,0,0,1,1,22897.1088478524,15656.9719025581,6,1,1,0,60,25,381764
161,41,3,2,2,1,0,0,1,0,0,1,19609.5508363827,14744.8214615187,5,1,1,1,80,23,319750
162,34,1,2,1,1,0,1,0,0,1,1,18173.2914012276,13616.9802960715,10,0,1,1,57,21,290840
163,45,3,2,2,1,0,1,0,1,1,1,8523.08712804957,9441.50116510093,5,1,1,1,129,27,298493
164,38,3,2,2,1,0,0,0,1,0,1,16449.8784016706,12314.2142627984,8,1,1,1,46,19,219822
165,52,4,2,2,0,0,1,0,0,1,0,7006.96080962727,14322.9145513326,14,1,1,1,39,14,255970
166,40,3,2,2,0,0,1,1,0,1,1,19386.4571962028,6283.1116318783,15,1,1,1,77,20,259830
167,47,1,1,1,1,0,0,1,0,0,1,20966.0291081185,16278.8443714379,5,1,1,1,85,22,311364
168,41,0,1,1,1,0,0,0,0,0,0,5466.11328800931,6834.52923598654,8,0,1,1,110,27,318858
169,37,2,2,2,1,0,1,0,0,1,1,21956.8753162183,13915.0596984892,7,0,1,1,55,25,256392
170,43,1,1,1,1,0,0,0,0,0,0,14033.0062098775,16955.0517024109,8,1,1,1,142,18,392491
171,44,3,2,2,1,0,0,0,0,1,0,2238.02479691915,12196.8607691613,4,0,1,1,140,30,360288
172,51,0,0,0,0,0,0,1,0,0,0,23176.0682810016,23956.1322469375,9,1,1,1,104,17,235413
173,35,3,2,2,1,0,0,0,0,0,0,1712.9745213248,2916.35639857171,7,0,1,1,200,40,330625
174,45,0,1,1,1,0,1,1,1,0,1,6519.92820577904,8184.58523970982,14,1,1,1,58,26,186404
175,52,2,2,1,0,0,1,0,1,1,1,9948.49446766517,9564.38624745012,13,0,1,1,56,14,262030
176,37,2,2,1,1,0,1,1,0,1,1,21700.5420766526,10588.161221913,14,1,1,1,76,25,266252
177,29,2,2,1,1,0,0,1,0,0,0,27860.8666622121,16237.5169495685,9,1,1,1,112,20,326875
178,12,2,1,1,1,0,1,0,1,1,1,10405.5278653329,23713.2102963878,15,1,1,1,49,16,263971
179,40,3,1,1,0,0,1,0,0,1,1,8235.91782044871,10181.7625818822,6,1,1,1,145,20,192765
180,40,3,2,2,1,0,0,0,0,1,0,3127.20338639263,1834.5111964523,6,0,1,1,204,34,361178
181,55,4,2,2,0,0,1,0,0,1,1,7369.34382660545,20868.7292438278,15,1,1,1,47,17,252966
182,31,5,2,5,1,0,1,0,0,1,1,18716.7721221242,13189.1647688228,10,0,1,1,45,18,282867
183,37,3,2,2,0,0,1,0,0,1,0,10525.7331906342,17487.3308237572,8,0,1,1,35,14,276298
184,40,3,2,2,0,0,1,1,1,1,1,12691.9631780099,6909.47460926129,10,1,1,0,38,15,295956
185,42,3,2,2,0,0,1,0,1,1,1,11997.8485825528,9729.83545255059,14,1,1,1,56,16,262998
186,16,3,2,1,1,0,1,0,1,1,1,192671.906572661,12509.3780328579,8,1,1,0,30,9,399818
187,1,0,0,0,1,0,0,1,0,0,0,28353.0748921294,18867.9089047334,9,1,1,1,108,18,413060
188,1,4,2,2,1,0,0,1,0,0,0,28301.2706519782,19109.6155232762,9,1,1,1,107,18,418502
189,41,3,2,2,1,0,0,0,0,0,0,9475.19950116123,6520.16157612321,7,1,1,0,163,21,276786
190,38,4,2,2,1,0,0,0,1,1,1,6743.06223011012,8696.88257691988,5,0,1,1,140,31,266204
191,43,1,1,1,1,0,0,1,0,0,0,17828.6083549538,10370.8568041794,6,1,1,1,106,20,349308
192,41,1,2,1,0,0,1,1,1,0,1,15156.4067213502,10202.8515720438,13,1,1,1,77,28,244575
193,45,1,1,1,1,0,0,0,0,1,0,3895.96861179258,1301.76997225305,5,0,1,1,212,34,351357
194,45,3,2,2,1,0,0,0,0,1,0,6493.91336927876,4541.79536719574,3,0,0,1,167,27,338271
195,44,4,2,2,1,0,0,0,0,0,0,2238.02479691915,7427.78135747835,8,0,1,1,179,40,284970
196,44,4,2,2,1,0,0,0,0,0,0,2238.02479691915,6873.24572660402,8,0,1,1,184,42,272220
