Column1,公司名稱,分公司名稱,分公司地址,分公司狀態,修正地址,lon,lat,_1
20081,萊爾富國際股份有限公司,第四八一O分公司,彰化縣永靖鄉中山路3段480號,1,0,120.5583586,23.9374522,
8783,統一超商股份有限公司,台中市第六一九分公司,臺中市沙鹿區興安路25-1號,1,0,120.5583668,24.2332799,
15183,全家便利商店股份有限公司,彰化金師分公司,彰化縣彰化市進德路27號1樓,1,0,120.558396,24.0834109,
5932,統一超商股份有限公司,彰化縣第三０七分公司,彰化縣彰化市進德路11、13號1樓,1,0,120.5583964,24.08304795,
17320,全家便利商店股份有限公司,台中市第七0五分公司,臺中市沙鹿區美仁里中正街77號,1,0,120.5585208,24.2365964,
919,全聯實業股份有限公司,大村中正西分公司,彰化縣大村鄉中正西路98、100號,1,0,120.5585423,23.9889327,
686,全聯實業股份有限公司,梧棲中華分公司,臺中市梧棲區南簡里中華路二段610號,1,0,120.5586804,24.2569144,
4941,統一超商股份有限公司,台中縣第二八一分公司,臺中市沙鹿區斗抵里沙田路17之19號1樓,1,0,120.5588392,24.2293865,
10483,統一超商股份有限公司,嘉義縣第７分公司,嘉義縣梅山鄉中山路125號1樓,1,0,120.558869,23.581306,
11,全聯實業股份有限公司,台中沙鹿分公司,臺中市沙鹿區大同街119-1號1樓,1,0,120.5589554,24.2394263,
14392,全家便利商店股份有限公司,嘉義縣第一O四分公司,嘉義縣梅山鄉梅東村公園路338號、340號1樓,1,0,120.5590106,23.5783054,
5550,統一超商股份有限公司,彰化縣第二二０分公司,彰化縣員林市員大路1段374號1樓,1,0,120.5593965,23.971672,
15576,全家便利商店股份有限公司,彰化縣第一O七分公司,彰化縣員林市員大路1段75號,1,0,120.5593965,23.971672,
18142,萊爾富國際股份有限公司,第２９６８分公司,屏東縣內埔鄉美和村6鄰學人路291號1樓,1,0,120.5596505,22.5999192,
4705,統一超商股份有限公司,彰化縣第一五八分公司,彰化縣埔心鄉中山路145、147、149號1樓,1,0,120.5597453,23.9404356,
8915,統一超商股份有限公司,彰化縣第二四四分公司,彰化縣彰化市中山路3段229號1樓,1,0,120.5597495,24.0871355,
5448,統一超商股份有限公司,屏東縣第一五四分公司,屏東縣佳冬鄉大豐路680號1樓,1,0,120.5597993,22.445807,
