消防隊名稱,地址,聯絡電話,X座標_TWD97TM121,Y座標_TWD97TM121,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局苗栗分隊,苗栗縣苗栗市金鳳街111號,037-320940,120.82160805452,24.542057133319798,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局公館分隊,苗栗縣公館鄉館南村館南街35-19號,037-222964,120.82174064111643,24.503156979564334,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局銅鑼分隊,苗栗縣銅鑼鄉武聖街7號,037-981540,120.78753291906673,24.48710306891122,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局三義分隊,苗栗縣三義鄉西湖村伯公坑209號,037-872119,120.75195431310306,24.382228590529113,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局頭屋分隊,苗栗縣頭屋鄉頭屋村24鄰尖豐路141-6號,037-250914,120.84737763710729,24.57412468251,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局第二救災救護大隊,苗栗縣竹南鎮博愛街785號,037-472061,120.86214553076654,24.690859571321926,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局竹南分隊,苗栗縣竹南鎮博愛街785號,037-472061,120.86214553076654,24.690859571321926,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局造橋分隊,苗栗縣造橋鄉造橋村老庄14鄰2-1號,037-541724,120.8663934079585,24.639039890298566,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局後龍分隊,苗栗縣後龍鎮南龍里光華路299號,037-722069,120.78640654875065,24.611000083155716,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局通霄分隊,苗栗縣通霄鎮平元里崇仁路36號,037-752405,120.68579176578602,24.489408213129845,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局苑裡分隊,苗栗縣苑裡鎮中正里14鄰中正113之3號,037-862010,120.6591060800803,24.42873200442841,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局西湖分隊,苗栗縣西湖鄉三湖村5鄰東三湖6-3號,037-922825,120.75544400437315,24.5548118298216,,,,,,,,,,,,,,,,,,,
