,交易年份,屋齡,交易標的,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,floor,車位類別-坡道平面,車位類別-坡道機械,車位類別-升降平面,車位類別-升降機械,車位類別-一樓平面,車位類別-塔式車位,車位類別-其他,建物型態-公寓,建物型態-華廈,建物型態-住宅大樓,建物型態-套房,建物型態-透天,NEAR_HOSTIPAL_250,NEAR_HOSTIPAL_500,NEAR_HOSTIPAL_750,CLINIC_COUNT_250,CLINIC_COUNT_500,CLINIC_COUNT_750,DENTIST_COUNT_250,DENTIST_COUNT_500,DENTIST_COUNT_750,PHARMACY_COUNT_250,PHARMACY_COUNT_500,PHARMACY_COUNT_750,CSTORE_COUNT_250,CSTORE_COUNT_500,CSTORE_COUNT_750,FASTFOOD_COUNT_250,FASTFOOD_COUNT_500,FASTFOOD_COUNT_750,LIBRARY_COUNT_250,LIBRARY_COUNT_500,LIBRARY_COUNT_750,NEAR_SCHOOL_250,NEAR_SCHOOL_500,NEAR_UNIVERSITY_250,NEAR_UNIVERSITY_500,NEAR_UNIVERSITY_750,NEAR_FIRESTATION_250,NEAR_FIRESTATION_500,NEAR_FIRESTATION_750,NEAR_FUEL_250,NEAR_FUEL_500,NEAR_FUEL_750,NEAR_MARKET_250,NEAR_MARKET_500,NEAR_MARKET_750,NEAR_POLICE_250,NEAR_POLICE_500,NEAR_POLICE_750,TEMPLE_COUNT_250,TEMPLE_COUNT_500,TEMPLE_COUNT_750,CEMETERY_AREA_250,CEMETERY_AREA_500,CEMETERY_AREA_750,PARK_AREA_250,PARK_AREA_500,PARK_AREA_750,WATER_AREA_250,WATER_AREA_500,WATER_AREA_750,PARKING_AREA_250,PARKING_AREA_500,PARKING_AREA_750,STOP_COUNT_250,STOP_COUNT_500,STOP_COUNT_750,NEAR_MRT_250,NEAR_MRT_500,NEAR_MRT_750,NEAR_TRA_250,NEAR_TRA_500,NEAR_TRA_750,y,0
32,111,48.0,0,4,2,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,4.0,17.0,39.0,3.0,11.0,28.0,1.0,9.0,19.0,4.0,11.0,24.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,1.0,0.0,1.0,1.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,21625.865466142488,66895.63908721336,102490.05299892963,0.0,0.0,0.0,3218.685998232394,17818.08579338945,48463.93482595848,2.0,11.0,35.0,0,0,1,0,0,0,221048,278076.1
33,111,37.0,0,0,0,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,1,14.0,37.0,92.0,4.0,20.0,51.0,1.0,8.0,28.0,7.0,27.0,56.0,1.0,6.0,7.0,1.0,6.0,7.0,1.0,1.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,1,1,1,1.0,2.0,8.0,0.0,0.0,0.0,4735.010759788743,17390.627417370044,38412.31631789961,0.0,0.0,0.0,3298.671521784313,10573.09737745251,13434.812285475013,6.0,17.0,42.0,0,1,1,0,0,0,249732,258847.58
34,111,2.0,0,3,1,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,7.0,15.0,47.0,5.0,11.0,33.0,2.0,7.0,20.0,5.0,12.0,33.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,10741.95713977636,50097.42054552038,103661.9328192822,0.0,0.0,0.0,2292.7182421230573,12080.422766615122,45480.32301941913,4.0,11.0,29.0,0,0,1,0,0,0,354241,300334.62
35,111,2.0,0,2,1,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,7.0,15.0,47.0,5.0,11.0,33.0,2.0,7.0,20.0,5.0,12.0,33.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,10741.95713977636,50097.42054552038,103661.9328192822,0.0,0.0,0.0,2292.7182421230573,12080.422766615122,45480.32301941913,4.0,11.0,29.0,0,0,1,0,0,0,348929,321650.2
36,111,1.0,1,3,2,2,1,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,5.0,23.0,49.0,3.0,14.0,39.0,1.0,7.0,21.0,4.0,19.0,44.0,0.0,1.0,4.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,1,0.0,0.0,2.0,0.0,0.0,0.0,1865.336392602396,82601.48454351933,264679.3763575161,0.0,10163.551044531388,122416.56678258708,2702.35128349451,17223.23634097796,28595.16796031577,2.0,18.0,39.0,0,0,1,0,0,0,291995,260607.78
37,111,49.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,7.0,25.0,39.0,9.0,18.0,31.0,5.0,13.0,22.0,9.0,21.0,33.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1,0.0,1.0,2.0,0.0,0.0,0.0,9077.583220793547,38821.61921339345,225232.03150640125,0.0,0.0,111937.35306774123,0.0,10630.83988896838,24551.31820128765,5.0,19.0,35.0,0,0,1,0,0,0,300509,297077.38
38,111,45.0,0,2,2,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,1,9.0,43.0,167.0,8.0,20.0,71.0,7.0,15.0,29.0,9.0,31.0,69.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,3.0,6.0,8.0,0.0,0.0,0.0,2525.013554702732,12589.419291481208,15731.858501008848,0.0,0.0,0.0,5854.250079031155,15612.83266420337,30082.87925410044,2.0,16.0,37.0,0,1,1,0,0,0,245258,230061.42
39,111,13.0,0,1,1,1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,15.0,32.0,51.0,11.0,20.0,32.0,3.0,8.0,15.0,14.0,34.0,54.0,3.0,3.0,4.0,3.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,1.0,2.0,9.0,0.0,0.0,0.0,4290.701404076901,9163.893019884828,77370.88919311306,0.0,0.0,22412.932099234757,9262.75668299367,23297.905767400647,35647.00985165005,9.0,24.0,47.0,1,1,1,0,0,0,266955,262324.94
40,111,43.0,0,0,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,4.0,12.0,24.0,3.0,14.0,20.0,1.0,7.0,13.0,3.0,12.0,24.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,2.0,2.0,0.0,0.0,0.0,32288.399865821728,182412.37257091692,354984.266528111,1763.2162580209897,99400.1811038976,161287.51733041165,6934.428546612293,17470.303117060863,34030.46212909297,7.0,16.0,27.0,0,0,0,0,0,0,219319,254328.22
41,111,50.0,0,5,3,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,7.0,23.0,39.0,10.0,16.0,27.0,4.0,12.0,19.0,8.0,17.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0,1,1,0.0,1.0,2.0,0.0,0.0,0.0,5402.420472814203,88582.25941070264,296112.65893377835,0.0,32136.13140777061,142036.9941178498,0.0,15325.198985684372,28923.31617827571,5.0,19.0,32.0,0,0,0,0,0,0,196734,199862.81
