,交易年份,屋齡,交易標的,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,floor,車位類別-坡道平面,車位類別-坡道機械,車位類別-升降平面,車位類別-升降機械,車位類別-一樓平面,車位類別-塔式車位,車位類別-其他,建物型態-公寓,建物型態-華廈,建物型態-住宅大樓,建物型態-套房,建物型態-透天,NEAR_HOSTIPAL_250,NEAR_HOSTIPAL_500,NEAR_HOSTIPAL_750,CLINIC_COUNT_250,CLINIC_COUNT_500,CLINIC_COUNT_750,DENTIST_COUNT_250,DENTIST_COUNT_500,DENTIST_COUNT_750,PHARMACY_COUNT_250,PHARMACY_COUNT_500,PHARMACY_COUNT_750,CSTORE_COUNT_250,CSTORE_COUNT_500,CSTORE_COUNT_750,FASTFOOD_COUNT_250,FASTFOOD_COUNT_500,FASTFOOD_COUNT_750,LIBRARY_COUNT_250,LIBRARY_COUNT_500,LIBRARY_COUNT_750,NEAR_SCHOOL_250,NEAR_SCHOOL_500,NEAR_SCHOOL_750,NEAR_UNIVERSITY_250,NEAR_UNIVERSITY_500,NEAR_UNIVERSITY_750,NEAR_FIRESTATION_250,NEAR_FIRESTATION_500,NEAR_FIRESTATION_750,NEAR_FUEL_250,NEAR_FUEL_500,NEAR_FUEL_750,NEAR_MARKET_250,NEAR_MARKET_500,NEAR_MARKET_750,NEAR_POLICE_250,NEAR_POLICE_500,NEAR_POLICE_750,TEMPLE_COUNT_250,TEMPLE_COUNT_500,TEMPLE_COUNT_750,CEMETERY_AREA_250,CEMETERY_AREA_500,CEMETERY_AREA_750,PARK_AREA_250,PARK_AREA_500,PARK_AREA_750,WATER_AREA_250,WATER_AREA_500,WATER_AREA_750,PARKING_AREA_250,PARKING_AREA_500,PARKING_AREA_750,STOP_COUNT_250,STOP_COUNT_500,STOP_COUNT_750,NEAR_MRT_250,NEAR_MRT_500,NEAR_MRT_750,NEAR_TRA_500,NEAR_TRA_750,y,0
152,111,38.0,0,4,0,4,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1.0,6.0,22.0,0.0,4.0,12.0,1.0,3.0,8.0,4.0,10.0,24.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,1,0.0,2.0,4.0,0.0,58.0551079693195,37554.58441119425,1471.1406901477196,8101.008184823139,26749.13901745385,0.0,0.0,0.0,0.0,12196.741920427789,26712.79036911938,6.0,18.0,32.0,0,0,0,0,0,97761,102050.48
153,111,41.0,0,2,2,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7589.303472497799,18082.53480669312,0.0,0.0,0.0,0.0,2406.816568657608,4642.996190208738,5.0,13.0,24.0,0,0,0,0,0,107460,101153.66
154,111,8.0,1,3,2,2,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,11970.074306901712,21218.104019531536,77850.96391022655,0.0,0.0,0.0,2236.17962155113,7499.493199571316,13671.975718517471,3.0,9.0,26.0,0,0,0,0,0,191995,217743.08
155,111,12.0,1,2,1,1,1,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,4.0,7.0,27.0,3.0,9.0,21.0,4.0,6.0,14.0,5.0,8.0,17.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,20902.79597933785,91599.91076655536,212717.1989062296,0.0,40467.56438750858,70054.16236053783,598.0405435922336,598.0405435922336,4168.495380123268,4.0,17.0,36.0,1,1,1,0,0,262582,213193.69
156,111,38.0,0,0,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,6.0,25.0,39.0,3.0,16.0,30.0,2.0,11.0,19.0,5.0,15.0,24.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1,1,3.0,7.0,14.0,14061.097644253392,27529.74908087495,27529.74908087495,19471.710657392174,88100.87891590109,128099.91782051486,0.0,0.0,0.0,3922.528547810487,13989.545468726566,20209.34924473388,8.0,24.0,51.0,1,1,1,0,0,192539,140804.19
157,111,13.0,0,1,1,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,1.0,5.0,8.0,1.0,4.0,6.0,1.0,2.0,2.0,6.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1,1.0,2.0,3.0,0.0,0.0,0.0,8576.77355831351,20267.76341764697,81067.45812215937,0.0,0.0,0.0,3292.098230965541,14345.912362669238,45630.18879564236,6.0,14.0,28.0,0,0,0,0,0,223572,211674.64
158,111,38.0,0,3,2,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,16.0,25.0,26.0,5.0,13.0,16.0,5.0,8.0,11.0,8.0,21.0,25.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1,1,2.0,4.0,6.0,0.0,0.0,0.0,11799.844606198109,105105.21415371836,159093.40798332175,0.0,26848.45775629045,90745.7930239112,2977.585839235904,19575.71085521891,34113.375468319966,4.0,13.0,24.0,0,0,1,0,0,128852,125554.91
159,111,34.0,0,3,2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1,18.0,32.0,39.0,12.0,20.0,28.0,9.0,15.0,18.0,4.0,10.0,19.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0,1,1,1.0,8.0,9.0,0.0,0.0,0.0,290.99353201551315,39572.25260331199,95151.26122791295,0.0,0.0,13535.928655895,681.478380889193,11999.574912418337,16033.412515929467,7.0,26.0,50.0,0,0,1,0,0,187114,177182.11
160,111,11.0,1,1,2,2,1,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,11970.229179445732,21417.456427386023,75008.46382722222,0.0,0.0,0.0,2236.17962155113,7499.493199571316,13671.975718517471,4.0,9.0,25.0,0,0,0,0,0,161621,223861.48
161,111,35.0,0,3,2,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.0,10.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,8.0,17.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,4.0,6.0,0.0,0.0,17333.78240160116,249.59554305134264,34391.15085686685,67559.57490470452,0.0,0.0,0.0,1029.2791419237535,7237.865591768248,50845.79185161034,0.0,6.0,20.0,0,1,1,0,0,182003,167475.81
