,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址,floor,lon,lat
6361,109,萬隆街52巷8號二樓之1,文山區,16.0,房地(土地+建物)+車位,1091004,0930827,2,1,1,塔式車位,有,205197,False,2,121.53773450000001,25.0009522
6362,109,福興路62號三樓之7,文山區,25.0,房地(土地+建物)+車位,1091011,0841030,3,2,2,坡道平面,有,105282,False,3,120.98975024999997,24.5287537
6363,109,福興路90號,文山區,25.0,房地(土地+建物)+車位,1091021,0840207,3,2,2,坡道機械,有,127752,False,1,120.98930515,24.5300087
6364,109,福興路95巷41號五樓之1,文山區,20.0,房地(土地+建物)+車位,1091011,0890626,2,1,2,坡道平面,有,97449,False,5,121.5475494,25.005497500000004
6365,109,西園路二段322號十樓之1,萬華區,5.0,房地(土地+建物)+車位,1091004,1041002,2,2,1,坡道平面,有,126546,False,10,121.49232109999998,25.025937
6366,109,長安東路二段160號十樓,中山區,18.0,房地(土地+建物)+車位,1091001,0910805,2,2,2,塔式車位,有,310322,False,10,121.53926639999999,25.048235
6367,109,五常街11巷7號十四樓之2,中山區,1.0,房地(土地+建物)+車位,1091028,1080918,2,1,1,坡道平面,有,246511,False,14,121.537909,25.064719
6368,109,民權東路六段296巷117號二樓,內湖區,26.0,房地(土地+建物)+車位,1091010,0830509,3,2,2,坡道平面,有,164996,False,2,121.6091493,25.0698398
6369,109,星雲街127號十四樓之3,內湖區,16.0,房地(土地+建物)+車位,1091027,0931222,3,2,2,坡道平面,有,242095,False,14,121.59571559999998,25.0806999
6370,109,經貿二路255巷3號十二樓,南港區,10.0,房地(土地+建物)+車位,1091012,0991201,1,2,2,坡道平面,有,185427,False,12,121.614183,25.06164
6371,109,松隆路202號,信義區,39.0,房地(土地+建物),1091023,0700508,1,1,1,,無,231820,False,1,121.57263280000001,25.046971099999997
6372,109,八德路二段348號四樓之3,松山區,11.0,房地(土地+建物),1091030,0980123,1,0,1,,有,302401,False,4,121.54536300000001,25.047601199999995
6373,109,光復南路457號十樓,信義區,37.0,房地(土地+建物),1091009,0720901,2,2,1,,有,234919,False,10,121.5577066,25.0344421
6374,109,吳興街284巷8號六樓,信義區,6.0,房地(土地+建物),1091022,1030805,2,2,2,,有,253189,False,6,121.5637228,25.024541700000004
6375,109,行義路186巷54號三樓,北投區,35.0,房地(土地+建物),1091010,0740110,4,2,2,,有,109489,False,3,121.53055830000001,25.133428300000002
6376,109,天母東路8號八樓,士林區,4.0,房地(土地+建物)+車位,1091006,1050920,4,2,5,坡道平面,有,406782,False,8,121.53152550000001,25.117790499999998
6377,109,公路209巷19號四樓,北投區,6.0,房地(土地+建物)+車位,1091004,1031230,3,2,2,坡道平面,有,149505,False,4,121.50858450000001,25.127877499999997
6378,109,安和路二段171巷8號十六樓,大安區,34.0,房地(土地+建物)+車位,1091004,0750131,2,4,3,坡道平面,有,242335,False,16,121.5502922,25.0279298
6379,109,安和路二段171巷10號十六樓,大安區,34.0,房地(土地+建物)+車位,1091004,0750131,4,2,3,坡道平面,有,251231,False,16,121.55038069999998,25.027901799999995
6380,109,景興路108巷1號三樓,文山區,52.0,房地(土地+建物),1091023,0571130,7,0,7,,無,135634,False,3,121.54432279999999,24.993951499999998
6381,109,內湖路一段661號五樓之5,內湖區,10.0,房地(土地+建物)+車位,1091012,0991123,3,2,1,坡道平面,有,230371,False,5,121.57560060000002,25.080305900000003
6382,109,四平街56號七樓,中山區,12.0,房地(土地+建物),1091011,0971218,2,1,1,,有,278165,False,7,121.53348349999999,25.053572499999998
6383,109,松山路535號七樓,信義區,38.0,房地(土地+建物),1091008,0710916,4,2,3,,有,230266,False,7,121.57830799999999,25.037912499999994
6384,109,經貿二路157巷36弄113號八樓,南港區,10.0,房地(土地+建物)+車位,1091005,0991202,4,2,2,坡道平面,有,242818,False,8,121.61452999999999,25.06264
6385,109,忠孝東路五段970號七樓,南港區,31.0,房地(土地+建物),1091019,0780114,4,2,2,,有,215477,False,7,121.58231400000001,25.044262999999997
6386,109,承德路四段261號九樓,士林區,32.0,房地(土地+建物),1091026,0771007,3,2,2,,有,155459,False,9,121.5205825,25.0896257
6387,109,三合街一段117巷80號九樓,北投區,0.0,房地(土地+建物)+車位,1091008,1090504,2,2,1,坡道平面,有,206612,False,9,121.5045074,25.125152000000003
6388,109,延吉街241巷2弄9號四樓,大安區,38.0,房地(土地+建物),1091014,0710707,4,2,2,,有,259677,False,4,121.55599224999999,25.03591075
6389,109,延吉街138巷1號三樓,大安區,35.0,房地(土地+建物),1091020,0740926,4,2,2,,有,271587,False,3,121.55481610000001,25.0397493
6390,109,延吉街68之23號,大安區,49.0,房地(土地+建物),1091023,0601208,3,1,1,,無,216798,False,1,121.55396199999998,25.042952999999997
6391,109,復興南路二段125巷20弄4之1號四樓,大安區,49.0,房地(土地+建物),1091012,0601013,5,3,2,,無,226322,False,4,121.54426129999999,25.0286754
6392,109,明德路123號四樓,北投區,44.0,房地(土地+建物),1091030,0650324,8,0,2,,無,158717,False,4,121.20253235,24.8473827
6393,109,民族街11巷12號二樓之1,北投區,13.0,房地(土地+建物),1091002,0960508,2,1,1,,有,146819,False,2,121.17153524999998,24.8184876
6394,109,翠山街16號,士林區,44.0,房地(土地+建物),1091015,0650103,4,2,3,,無,252381,False,1,121.57078039999999,25.1089932
6395,109,中山路1之6號七樓之3,北投區,42.0,房地(土地+建物),1091023,0670404,3,2,2,,有,150079,False,7,120.93742370000001,23.9072836
6396,109,重陽路57巷98號三樓,南港區,13.0,房地(土地+建物)+車位,1091018,0961128,2,2,1,坡道機械,有,174127,False,3,121.5954249,25.058925799999997
6397,109,永吉路288號十四樓之2,信義區,21.0,房地(土地+建物)+車位,1091012,0880605,4,2,2,坡道平面,有,202359,False,14,121.574474,25.045365999999998
6398,109,興中路28巷18號十樓,南港區,8.0,房地(土地+建物)+車位,1091017,1011001,1,1,1,坡道平面,有,197054,False,10,121.60657280000001,25.0553833
6399,109,敦化北路153之10號,松山區,50.0,房地(土地+建物),1091023,0590627,0,0,0,,有,265393,False,1,121.54935479999999,25.054225400000004
6400,109,基隆路一段432號十一樓,信義區,38.0,房地(土地+建物),1091008,0710527,1,1,0,,有,184421,False,11,121.55957959999999,25.033753599999997
6401,109,舊莊街一段269號二樓,南港區,2.0,房地(土地+建物),1091018,1070814,0,0,0,,有,132369,False,2,121.62380309999999,25.037333
6402,109,民權西路279號七樓之2,大同區,16.0,房地(土地+建物),1091011,0931029,1,1,1,,有,170721,False,7,121.5095819,25.0634516
6403,109,內湖路三段326巷3弄1之1號四樓,內湖區,39.0,房地(土地+建物),1091021,0700525,2,2,1,,無,131807,False,4,121.58394280000002,25.089879149999998
6404,109,金湖路403號五樓,內湖區,21.0,房地(土地+建物)+車位,1091014,0881202,3,2,2,坡道平面,有,181865,False,5,121.60423759999999,25.0733057
6405,109,民權東路六段180巷42弄7號八樓,內湖區,2.0,房地(土地+建物),1091024,1070718,2,2,1,,有,219250,False,8,121.5923473,25.0674922
6406,109,復興北路514巷64號七樓,中山區,33.0,房地(土地+建物),1091022,0760817,3,2,2,,有,201440,False,7,121.54133840000001,25.065872400000003
6407,109,復興北路514巷64號七樓,中山區,33.0,房地(土地+建物),1091022,0760817,3,2,2,,有,196357,False,7,121.54133840000001,25.065872400000003
6408,109,新富街127號十一樓,內湖區,8.0,房地(土地+建物)+車位,1091015,1010403,4,2,4,坡道平面,有,187538,False,11,121.58559140000001,25.0603961
6409,109,內湖路二段103巷86號十樓,內湖區,38.0,房地(土地+建物),1091017,0711126,3,2,2,,有,197279,False,10,121.58057600000001,25.083114
6410,109,指南路三段56號六樓,文山區,13.0,房地(土地+建物)+車位,1091012,0961001,3,2,2,坡道平面,有,96814,False,6,121.58070620000001,24.981609
6411,109,木柵路四段33巷5號十樓之3,文山區,12.0,房地(土地+建物),1091011,0971208,0,0,0,,有,178477,False,10,121.571041,24.99415239999999
6412,109,汀州路一段352號十八樓之1,中正區,1.0,房地(土地+建物)+車位,1091019,1081202,4,2,2,坡道平面,有,194424,False,18,121.51276259999999,25.0264033
6413,109,仁愛路三段5巷7號八樓,大安區,4.0,房地(土地+建物)+車位,1091008,1050929,0,0,0,坡道平面,有,432507,False,8,121.53367319999998,25.040007700000004
6414,109,天母東路8巷92號四樓,士林區,39.0,房地(土地+建物),1091010,0700910,3,2,2,,無,162503,False,4,121.53018639999999,25.114472199999998
6415,109,華齡街185巷2號三樓,士林區,12.0,房地(土地+建物)+車位,1091016,0971014,3,2,2,坡道機械,有,186961,False,3,121.51939759999999,25.087884099999997
6416,109,中山北路七段219巷3弄191號四樓,北投區,36.0,房地(土地+建物),1091015,0731022,2,2,1,,有,146326,False,4,121.53076890000001,25.129835000000003
6417,109,環河北路三段207號十三樓,士林區,3.0,房地(土地+建物)+車位,1091012,1061214,3,2,2,升降機械,有,120101,False,13,121.5040422,25.088050799999998
6418,109,饒河街199號四樓之1,松山區,2.0,房地(土地+建物),1091004,1071003,3,2,2,,有,181431,False,4,121.57619109999999,25.050798099999998
6419,109,民生東路三段113巷25弄41號六樓,松山區,37.0,房地(土地+建物),1091025,0720526,3,2,2,,有,203749,False,6,121.5474588,25.059153199999997
6420,109,民權東路六段210巷21弄3號五樓,內湖區,1.0,房地(土地+建物),1091025,1081111,1,1,1,,有,257255,False,5,121.59777909999998,25.0669267
6421,109,星雲街210巷43號十一樓,內湖區,20.0,房地(土地+建物)+車位,1091010,0891101,3,2,2,坡道平面,有,176556,False,11,121.5980226,25.0798037
6422,109,行善路25巷14號六樓,內湖區,23.0,房地(土地+建物),1091017,0860526,3,2,1,,有,153297,False,6,121.576032,25.0553839
6423,109,農安街6號十二樓之1,中山區,11.0,房地(土地+建物),1091017,0980622,1,1,1,,有,203221,False,12,121.5234977,25.064714900000002
6424,109,中原街22號六樓之10,中山區,43.0,房地(土地+建物),1091029,0660625,0,0,0,,有,134417,False,6,121.5287831,25.056780699999997
6425,109,新生北路三段56巷1號十樓之5,中山區,39.0,房地(土地+建物),1091020,0700410,1,1,1,,有,154436,False,10,121.52734950000001,25.065452
6426,109,農安街227巷3弄16號五樓,中山區,37.0,房地(土地+建物),1091009,0720829,4,2,2,,有,184539,False,5,121.5342751,25.06510205
6427,109,東湖路82號四樓,內湖區,39.0,房地(土地+建物),1091012,0700825,4,2,2,,無,125471,False,4,120.6949873,24.0812956
6428,109,信義路五段127號十二樓之13,信義區,14.0,房地(土地+建物),1091027,0951229,1,1,1,,有,248166,False,12,121.57405820000001,25.0339574
6429,109,國興路36號四樓,萬華區,41.0,房地(土地+建物),1091025,0680403,2,1,1,,有,158924,False,4,121.5081849,25.0248995
