,交易年份,土地位置建物門牌,屋齡,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,單價元平方公尺,修正地址
2897,110,臺北市中山區農安街204巷5號四樓之1,30,1,1,1,無,156125,False
2998,110,臺北市中山區松江路150巷6號,50,0,0,1,無,299647,False
2999,110,臺北市中山區中山北路二段39巷8號五樓,45,5,2,3,有,191485,False
3000,110,臺北市中山區明水路397巷7弄55號,31,4,2,2,有,318714,False
3001,110,臺北市中山區新生北路三段61號七樓之18,45,3,2,2,有,161807,False
3041,110,臺北市中山區新生北路二段133巷18號二樓之8,41,1,0,1,有,177147,False
3072,110,臺北市中山區敬業三路162巷194號六樓,21,3,2,2,有,189265,False
3077,110,臺北市中山區民生東路二段147巷5弄5號四樓,55,2,2,1,無,259868,False
3104,110,臺北市中山區錦州街50號十一樓之29,37,2,1,1,有,170128,False
3151,110,臺北市中山區新生北路一段108號五樓之1,44,2,1,1,有,210217,False
3152,110,臺北市中山區長春路220號十二樓,27,1,1,1,有,206061,False
3153,110,臺北市中山區林森北路282號四樓之13,47,2,2,1,有,137322,False
3159,110,臺北市中山區德惠街34號八樓之26,42,1,1,1,有,161568,False
3197,110,臺北市中山區中山北路一段72號九樓之5,35,1,1,1,有,220716,False
3226,110,臺北市中山區錦州街50號十樓之19,37,2,1,1,有,165163,False
3260,110,臺北市中山區林森北路413號十一樓之8,37,2,1,1,有,119142,False
3261,110,臺北市中山區新生北路一段110號四樓,33,1,1,1,有,164909,False
3316,110,臺北市中山區林森北路409號八樓之28,39,0,0,0,有,130847,False
3348,110,臺北市中山區中原街22號六樓之30,44,0,0,0,有,164114,False
3349,110,臺北市中山區農安街227巷3弄1號四樓,38,3,2,2,有,177508,False
3353,110,臺北市中山區新生北路二段29號七樓,37,3,2,2,有,175732,False
3370,110,臺北市中山區林森北路85巷56號六樓之1,48,3,2,2,有,162809,False
3405,110,臺北市中山區林森北路50號八樓之3,43,2,1,1,有,178125,False
3469,110,臺北市中山區農安街259號五樓,38,3,0,2,有,188094,False
3470,110,臺北市中山區林森北路409號九樓之23,39,1,1,1,有,136081,False
3488,110,臺北市中山區林森北路289號八樓之6,44,2,1,1,有,196305,False
3565,110,臺北市中山區新生北路二段40號十四樓之8,25,1,0,1,有,169683,False
3568,110,臺北市中山區雙城街3巷2號八樓之3,26,1,0,1,有,181417,False
3600,110,臺北市中山區林森北路67巷132號五樓,44,5,2,3,有,173291,False
3601,110,臺北市中山區林森北路67巷132號地下,44,0,0,1,有,48650,False
3645,110,臺北市中山區錦州街157巷29號四樓,49,5,0,5,無,170999,False
3691,110,臺北市中山區新生北路二段127巷46號二樓,54,4,1,2,無,149815,False
