,0,0
191,148976,137973.89
192,190432,181754.47
193,104814,104420.766
194,146819,145591.6
195,178774,191583.28
196,148740,153325.84
197,174847,185383.42
198,114548,114798.08
199,312194,316202.8
200,156100,165217.86
201,206434,195798.83
202,243380,238760.52
203,123371,123486.84
204,194081,204982.62
205,248288,241633.67
206,126239,127938.42
207,327817,342194.2
208,124331,114548.38
209,155919,154116.0
210,130365,136195.77
211,120521,121522.8
212,175176,173453.69
213,162607,164307.84
214,266044,266165.72
215,225593,226792.97
216,212462,208191.88
217,240674,252019.61
218,181101,179351.9
219,218318,221809.66
220,130246,128884.18
221,152430,152729.42
222,236833,233157.56
223,177593,159365.78
224,153377,157206.77
225,145309,149492.89
226,205882,202524.44
227,159600,158414.25
228,279349,280315.0
229,165900,164433.0
230,194594,185883.83
231,193839,176337.22
232,194768,185955.16
233,169062,158076.69
234,214480,214861.47
235,144445,125374.836
236,179869,188501.08
237,196755,194769.05
238,263576,267633.72
239,110504,111007.36
240,178860,188760.05
241,118155,124180.29
242,144635,141342.23
243,110377,108853.76
244,154892,152022.03
245,264578,268285.28
246,129116,130267.7
247,264459,260342.5
248,140308,142065.78
249,236305,231162.33
250,129456,130031.74
251,297521,304025.66
252,108801,109974.37
253,262017,283731.72
254,106383,106466.555
255,283970,282003.94
256,97571,96588.32
257,245076,244916.64
258,124662,129135.664
259,189920,187053.88
260,274620,244418.25
261,208222,206234.16
262,207615,206602.83
263,108008,108995.99
264,212630,199116.53
265,192678,190998.48
266,180983,181506.12
267,442641,472393.9
268,128294,128507.84
269,195819,202665.06
270,121175,121022.5
271,192384,198763.69
272,253984,253724.66
273,212335,220483.42
274,93650,91790.24
275,158567,159389.39
276,91653,89752.805
277,188498,178875.12
278,162526,166284.64
279,191071,188503.73
280,237457,244763.98
281,172086,158418.77
282,217482,218824.95
283,102226,103626.43
284,180639,183936.14
285,299817,293331.16
286,141333,151056.34
287,272157,271018.12
288,193861,181148.06
289,180696,193860.58
290,152433,162007.19
291,181547,184699.6
292,143939,150618.1
293,160578,161687.92
294,160615,160371.89
295,209391,208981.34
296,125186,125430.984
297,126204,125722.42
298,216420,218355.42
299,297923,311057.16
300,165324,166760.81
301,214747,213734.78
302,222540,221186.9
303,137686,139194.5
304,144918,145291.28
305,227555,214671.75
306,273764,275711.9
307,184211,183314.58
308,105538,105842.47
309,157280,159477.56
310,303094,302183.56
311,267097,252916.56
312,114543,114081.42
313,134740,133131.16
314,165278,163141.9
315,202256,205509.38
316,236882,238468.47
317,147472,146746.11
318,111737,113657.984
319,216450,223634.16
320,333806,341613.94
321,129966,137365.86
322,168684,167300.42
323,131978,180412.02
324,250596,251424.33
325,159376,153814.31
326,167675,164274.4
327,183593,167930.22
328,130834,124846.81
329,192522,184364.69
330,263433,256884.22
331,222366,219093.73
332,151400,153835.2
333,88500,83974.04
334,161753,165367.38
335,110837,129166.46
336,141704,138349.77
337,155851,166748.19
338,182057,188385.81
339,439463,438505.88
340,191432,187849.39
341,203947,202267.06
342,92800,91020.805
343,166010,163552.75
344,129538,130144.086
345,146057,140426.56
346,115715,119306.04
347,187924,185792.5
348,149395,151250.55
349,307730,300824.06
350,147435,138772.34
351,165734,175982.1
352,105908,107300.36
353,102431,101732.266
354,197334,191320.8
355,158288,159743.16
356,144384,154226.38
357,199820,199323.86
358,311203,286190.84
359,255678,255744.81
360,187328,186598.39
361,118332,122357.766
362,339113,338094.38
363,166857,166859.69
364,227389,247339.98
365,230698,234024.62
366,113067,116130.234
367,228370,202594.92
368,263863,246288.47
369,229834,230320.47
370,125386,124961.31
371,213848,219268.1
372,167588,168986.73
373,146087,148754.22
374,86064,92546.375
375,217536,217019.94
376,157233,155687.44
377,253746,254303.31
378,136336,138208.88
379,175011,178132.72
380,160495,162416.28
381,113636,115125.37
382,162118,159211.38
383,141784,154285.28
384,140056,142845.97
385,349919,330072.62
386,167754,167990.16
387,161323,156159.86
388,188423,183730.73
389,75394,78935.77
390,126666,128581.87
391,333333,328729.72
392,188120,194984.1
393,180598,181355.78
394,143924,133520.88
395,164838,164472.94
396,134856,108903.086
397,103316,111619.86
398,206127,206364.9
399,188055,186128.78
400,129436,120723.3
401,166738,159411.2
402,158629,155704.16
403,154652,184588.95
404,187889,180436.7
405,184405,171137.9
406,177002,176824.1
407,106074,109900.34
408,271366,272805.84
409,260506,285022.16
410,163043,163849.53
411,227176,218125.89
412,137821,130406.0
413,104435,103145.8
414,193571,182355.56
415,454321,453861.06
416,184941,196084.25
417,281732,298824.22
