,交易年份,屋齡,交易標的,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,floor,車位類別-坡道平面,車位類別-坡道機械,車位類別-升降平面,車位類別-升降機械,車位類別-一樓平面,車位類別-塔式車位,車位類別-其他,建物型態-公寓,建物型態-華廈,建物型態-住宅大樓,建物型態-套房,建物型態-透天,NEAR_HOSTIPAL_750,CLINIC_COUNT_250,CLINIC_COUNT_500,CLINIC_COUNT_750,DENTIST_COUNT_250,DENTIST_COUNT_500,DENTIST_COUNT_750,PHARMACY_COUNT_250,PHARMACY_COUNT_500,PHARMACY_COUNT_750,CSTORE_COUNT_250,CSTORE_COUNT_500,CSTORE_COUNT_750,FASTFOOD_COUNT_250,FASTFOOD_COUNT_500,FASTFOOD_COUNT_750,LIBRARY_COUNT_250,LIBRARY_COUNT_500,LIBRARY_COUNT_750,NEAR_SCHOOL_250,NEAR_SCHOOL_500,NEAR_SCHOOL_750,NEAR_UNIVERSITY_250,NEAR_UNIVERSITY_500,NEAR_UNIVERSITY_750,NEAR_FIRESTATION_250,NEAR_FIRESTATION_500,NEAR_FIRESTATION_750,NEAR_FUEL_250,NEAR_FUEL_500,NEAR_FUEL_750,NEAR_MARKET_250,NEAR_MARKET_500,NEAR_MARKET_750,NEAR_POLICE_250,NEAR_POLICE_500,NEAR_POLICE_750,TEMPLE_COUNT_250,TEMPLE_COUNT_500,TEMPLE_COUNT_750,CEMETERY_AREA_250,CEMETERY_AREA_500,CEMETERY_AREA_750,PARK_AREA_250,PARK_AREA_500,PARK_AREA_750,WATER_AREA_250,WATER_AREA_500,WATER_AREA_750,PARKING_AREA_250,PARKING_AREA_500,PARKING_AREA_750,STOP_COUNT_250,STOP_COUNT_500,STOP_COUNT_750,NEAR_MRT_250,NEAR_MRT_500,NEAR_MRT_750,NEAR_TRA_250,NEAR_TRA_500,NEAR_TRA_750,y,0
89,111,16.0,1,2,1,1,1,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,4.0,0.0,1.0,5.0,0.0,2.0,2.0,0.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0,1,1,0.0,1.0,3.0,0.0,0.0,0.0,67970.45875403137,191260.7182797536,330810.63307708123,36518.47316915678,81934.51103923426,117373.07163340942,111.83746598999818,6178.30294518786,37976.66821384167,1.0,16.0,33.0,0,0,0,0,0,0,163305,189432.94
90,111,28.0,0,2,2,1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,3.0,5.0,0.0,6.0,7.0,0.0,4.0,4.0,2.0,10.0,14.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,1.0,2.0,0.0,0.0,2790.758120063092,5302.931927411851,87599.16190813361,241420.4560078678,0.0,38639.95943474935,76483.47770946064,1187.177405676615,19147.41089124293,30975.80356310688,1.0,19.0,45.0,0,0,1,0,0,1,210655,220745.47
91,111,38.0,0,4,2,2,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,4.0,4.0,8.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,6.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1,0.0,3.0,7.0,0.0,0.0,31883.30389933966,20743.42833396443,65960.71321471645,84358.93853766586,0.0,0.0,0.0,3000.236436157469,12548.87851295478,14645.834774164712,1.0,12.0,24.0,0,0,0,0,0,0,155081,122906.64
92,111,2.0,0,2,2,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,11.0,28.0,61.0,6.0,15.0,36.0,5.0,17.0,31.0,8.0,23.0,46.0,0.0,2.0,3.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,1.0,0.0,1.0,1.0,0,1,1,3.0,7.0,16.0,0.0,0.0,0.0,21615.907335670585,87978.23195974642,199388.2789380915,0.0,0.0,0.0,1337.977863120121,12971.512798538955,23478.73446593496,8.0,28.0,56.0,1,1,1,0,0,0,301847,282325.38
93,111,11.0,1,4,2,2,1,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,2.0,6.0,14.0,1.0,4.0,5.0,1.0,2.0,3.0,4.0,14.0,16.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1.0,2.0,4.0,0.0,0.0,0.0,4841.91093063714,127381.68830765484,310025.4778281862,0.0,39411.10642358831,118657.37074239305,3482.323540444374,14222.25522403006,30556.658180058366,11.0,18.0,34.0,0,1,1,0,0,0,183697,236154.39
94,111,11.0,1,0,0,1,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,2.0,6.0,14.0,1.0,4.0,5.0,1.0,2.0,3.0,4.0,14.0,16.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1.0,2.0,4.0,0.0,0.0,0.0,4841.91093063714,127381.68830765484,310025.4778281862,0.0,39411.10642358831,118657.37074239305,3482.323540444374,14222.25522403006,30556.658180058366,11.0,18.0,34.0,0,1,1,0,0,0,278190,225883.6
95,111,9.0,1,3,2,2,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,2.0,2.0,3.0,6.0,0.0,0.0,2.0,2.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0.0,2.0,2.0,0.0,0.0,0.0,36918.480800959245,154287.01007686762,282771.1353658866,4637.676566428327,61103.34634064783,111859.69728115332,7470.942464945239,16331.202172017149,22919.65099187229,6.0,17.0,38.0,0,0,0,0,0,0,245013,201157.0
96,111,45.0,0,3,2,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,3.0,0.0,1.0,2.0,2.0,4.0,5.0,2.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,1,2.0,6.0,8.0,0.0,0.0,0.0,1997.0967121786164,36681.42598952527,46379.54683281948,0.0,0.0,0.0,10142.30677534897,16484.401335592458,19459.104422018238,6.0,21.0,30.0,0,0,0,0,0,0,147184,107285.79
97,111,28.0,1,2,1,1,1,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,20.0,50.0,1.0,10.0,30.0,2.0,10.0,29.0,8.0,21.0,40.0,1.0,2.0,3.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1,1,3.0,12.0,19.0,0.0,0.0,0.0,11598.608833669989,49246.3698145023,156988.86263276666,0.0,4907.420473519936,86780.51083027772,3204.028487431393,21226.59759971704,26336.05188246744,3.0,29.0,56.0,0,1,1,0,1,1,272891,233239.47
98,111,42.0,0,3,2,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.0,3.0,76496.81666416307,166203.40561913594,191404.5342668357,458.49551606734383,13605.327206867234,40670.00600240404,0.0,0.0,0.0,1946.118487748527,2982.200880498016,4491.49232948572,1.0,11.0,16.0,0,0,0,0,0,0,188661,326719.03
