,交易年份,屋齡,交易標的,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,floor,車位類別-坡道平面,車位類別-坡道機械,車位類別-升降平面,車位類別-升降機械,車位類別-一樓平面,車位類別-塔式車位,車位類別-其他,建物型態-公寓,建物型態-華廈,建物型態-住宅大樓,建物型態-套房,建物型態-透天,NEAR_HOSTIPAL_250,NEAR_HOSTIPAL_500,NEAR_HOSTIPAL_750,CLINIC_COUNT_250,CLINIC_COUNT_500,CLINIC_COUNT_750,DENTIST_COUNT_250,DENTIST_COUNT_500,DENTIST_COUNT_750,PHARMACY_COUNT_250,PHARMACY_COUNT_500,PHARMACY_COUNT_750,CSTORE_COUNT_250,CSTORE_COUNT_500,CSTORE_COUNT_750,FASTFOOD_COUNT_250,FASTFOOD_COUNT_500,FASTFOOD_COUNT_750,LIBRARY_COUNT_250,LIBRARY_COUNT_500,LIBRARY_COUNT_750,NEAR_SCHOOL_250,NEAR_SCHOOL_500,NEAR_SCHOOL_750,NEAR_UNIVERSITY_250,NEAR_UNIVERSITY_500,NEAR_UNIVERSITY_750,NEAR_FIRESTATION_250,NEAR_FIRESTATION_500,NEAR_FIRESTATION_750,NEAR_FUEL_250,NEAR_FUEL_500,NEAR_FUEL_750,NEAR_MARKET_250,NEAR_MARKET_500,NEAR_MARKET_750,NEAR_POLICE_250,NEAR_POLICE_500,NEAR_POLICE_750,TEMPLE_COUNT_250,TEMPLE_COUNT_500,TEMPLE_COUNT_750,CEMETERY_AREA_250,CEMETERY_AREA_500,CEMETERY_AREA_750,PARK_AREA_250,PARK_AREA_500,PARK_AREA_750,WATER_AREA_250,WATER_AREA_500,WATER_AREA_750,PARKING_AREA_250,PARKING_AREA_500,PARKING_AREA_750,STOP_COUNT_250,STOP_COUNT_500,STOP_COUNT_750,NEAR_MRT_250,NEAR_MRT_500,NEAR_MRT_750,NEAR_TRA_750,y,0
256,111,37.0,0,2,2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,8.0,47.0,96.0,7.0,24.0,61.0,5.0,15.0,31.0,7.0,29.0,58.0,1.0,5.0,6.0,1.0,5.0,6.0,0.0,1.0,1.0,0.0,1.0,1.0,0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1,1,7.0,13.0,14.0,0.0,0.0,0.0,885.3134667869887,8482.620402550154,60987.64951117321,0.0,0.0,0.0,4729.27958813462,16723.065865041786,50428.06122610305,3.0,24.0,49.0,0,1,1,0,203274,235335.66
257,111,35.0,0,1,2,1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,1,65.0,147.0,258.0,18.0,54.0,115.0,4.0,12.0,34.0,15.0,37.0,74.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1287.1926833856464,33292.72703738043,0.0,0.0,0.0,0.0,8094.896451530295,25104.968726759776,4.0,22.0,41.0,1,1,1,0,299701,293404.2
258,111,44.0,0,2,2,1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,50.0,132.0,203.0,21.0,54.0,78.0,5.0,16.0,25.0,10.0,29.0,49.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0,1,1,0.0,1.0,4.0,0.0,0.0,0.0,9618.68030563838,19352.020587366507,37956.85880954391,0.0,0.0,0.0,3970.495052295813,12851.121412374465,40631.69454279758,7.0,25.0,52.0,1,1,1,0,351865,266610.44
259,111,8.0,1,0,0,0,1,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,5.0,30.0,86.0,9.0,30.0,69.0,0.0,2.0,13.0,4.0,20.0,45.0,1.0,2.0,4.0,1.0,2.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0,1,1,0.0,1.0,1.0,0.0,1.0,1.0,0,0,1,3.0,8.0,16.0,0.0,0.0,0.0,3807.68629199115,19004.06079117818,103059.08037086888,0.0,0.0,0.0,7367.455237504069,12866.847573972354,23095.243818767955,7.0,26.0,55.0,0,1,1,0,239014,417554.56
260,111,42.0,0,3,2,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,3.0,21.0,47.0,1.0,13.0,38.0,1.0,8.0,21.0,3.0,15.0,34.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1.0,3.0,7.0,0.0,0.0,0.0,10583.7545122865,19215.430007954885,58418.2079524908,0.0,0.0,0.0,9311.466700175904,38773.438868459096,63895.18163814223,3.0,22.0,48.0,0,0,1,0,214590,210673.03
261,111,35.0,0,3,2,2,1,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,10.0,24.0,48.0,11.0,25.0,44.0,4.0,9.0,16.0,6.0,18.0,32.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,1.0,3.0,5.0,0.0,0.0,0.0,2883.2328735729025,20402.19626105621,40785.944999109,0.0,0.0,0.0,9229.872512376502,31235.733566817664,67031.7153345634,7.0,20.0,39.0,1,1,1,0,280535,274258.16
262,111,12.0,1,1,2,2,1,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,1.0,6.0,0.0,1.0,9.0,0.0,0.0,4.0,0.0,5.0,11.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,2.0,3.0,2538.8485637590798,76533.59720316844,142222.2116183211,29024.76213242503,112407.23187037458,236316.09261733547,0.0,0.0,0.0,0.0,2531.4979583303416,9241.946276465262,2.0,9.0,18.0,0,1,1,0,257847,218579.14
263,111,31.0,0,5,0,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1.0,30.0,67.0,0.0,14.0,37.0,0.0,6.0,13.0,0.0,16.0,32.0,0.0,3.0,4.0,0.0,3.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,2.0,6.0,10.0,0.0,0.0,0.0,5898.506417401214,19161.00337010725,58593.70927357404,0.0,0.0,0.0,370.90964787638393,18642.31091080886,31686.05184655141,6.0,27.0,58.0,0,1,1,0,239969,168033.42
264,111,2.0,1,3,2,2,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,21.0,123.0,217.0,10.0,45.0,85.0,2.0,14.0,25.0,10.0,40.0,66.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,5562.588283560844,24726.796940942662,0.0,0.0,0.0,4138.3047887206685,16119.103599291971,25012.93755569627,4.0,15.0,48.0,1,1,1,0,229759,363998.53
265,111,34.0,0,3,2,2,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,7.0,36.0,60.0,7.0,27.0,48.0,3.0,12.0,29.0,6.0,22.0,45.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,1,1.0,5.0,9.0,0.0,0.0,0.0,3788.14083090508,17392.569888880385,72394.49656601896,0.0,0.0,0.0,5223.548823631856,21029.405925564068,43695.90123284878,8.0,29.0,46.0,1,1,1,0,300740,237038.17
266,111,36.0,0,2,2,2,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,4.0,12.0,76.0,4.0,17.0,51.0,2.0,3.0,14.0,3.0,11.0,33.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0,1,1,1.0,1.0,1.0,0.0,1.0,1.0,0,0,1,0.0,1.0,3.0,0.0,0.0,0.0,34546.721607593776,237720.0319656348,292093.76551139646,0.0,0.0,0.0,8835.74605171882,42693.22409170951,57959.576431371184,3.0,13.0,45.0,0,1,1,0,288944,261031.44
267,111,46.0,0,4,2,2,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,6.0,26.0,53.0,5.0,14.0,45.0,2.0,4.0,8.0,5.0,11.0,32.0,0.0,2.0,4.0,0.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,1,3.0,4.0,7.0,0.0,0.0,0.0,3736.5595364008254,50929.4806600349,210074.9879849504,0.0,0.0,0.0,612.8577652872575,12418.672168311805,40222.80208851608,5.0,16.0,45.0,0,0,1,0,285044,292473.97
268,111,8.0,1,3,2,5,1,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,5.0,30.0,86.0,9.0,30.0,69.0,0.0,2.0,13.0,4.0,20.0,45.0,1.0,2.0,4.0,1.0,2.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0,1,1,0.0,1.0,1.0,0.0,1.0,1.0,0,0,1,3.0,8.0,16.0,0.0,0.0,0.0,3807.68629199115,19004.06079117818,103059.08037086888,0.0,0.0,0.0,7367.455237504069,12866.847573972354,23095.243818767955,7.0,26.0,55.0,0,1,1,0,272261,408197.2
269,111,37.0,0,3,2,3,1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,12.0,19.0,39.0,4.0,12.0,30.0,1.0,4.0,10.0,3.0,10.0,25.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0,1,1,0.0,4.0,6.0,0.0,0.0,0.0,14144.395340126728,92677.47738881968,202061.29547368988,0.0,0.0,0.0,1542.530521051763,23225.749247843552,46493.61578854951,5.0,17.0,35.0,0,0,0,0,294695,289215.3
