,公司名稱,分公司名稱,分公司地址,分公司狀態,修正地址,lon,lat
83,全聯實業股份有限公司,旗山中華分公司,高雄市旗山區中華路31、33號,1,False,120.48235505000001,22.87815305
84,全聯實業股份有限公司,台南灣裡分公司,臺南市南區興南街200號,1,False,120.18143319999999,22.921322500000002
85,全聯實業股份有限公司,高雄光武分公司,高雄市三民區九如一路278號,1,False,120.3353074,22.638002
86,全聯實業股份有限公司,永安捷運分公司,新北市永和區中和路489號地下1樓,1,False,121.5104502,25.0021082
87,全聯實業股份有限公司,新竹香北分公司,新竹市香山區香北路58號,1,False,120.92810889999998,24.7923317
88,全聯實業股份有限公司,關山和平分公司,臺東縣關山鎮和平路1-20號、1-21號、1-22號,1,False,121.16453530000001,23.0489196
89,全聯實業股份有限公司,泰山全興分公司,新北市泰山區全興路101號,1,False,121.43362619999999,25.057210599999998
90,全聯實業股份有限公司,潮州光復分公司,屏東縣潮州鎮光復路179號,1,False,120.53561789999999,22.5383961
91,全聯實業股份有限公司,台南明興分公司,臺南市南區明興路53、55、57號,1,False,120.18802965,22.959624650000002
92,全聯實業股份有限公司,花蓮壽豐分公司,花蓮縣壽豐鄉壽山路33、35號,1,False,121.508618,23.870066149999996
93,全聯實業股份有限公司,林口麗都分公司,新北市林口區文化二路1段106、108號,1,False,121.36740479999997,25.0703823
94,全聯實業股份有限公司,基隆百三分公司,基隆市七堵區百三街107號1樓,1,False,121.6976169,25.082003300000004
95,全聯實業股份有限公司,彰化埤頭分公司,彰化縣埤頭鄉合興村斗苑西路179號,1,False,120.46110979999997,23.8912414
96,全聯實業股份有限公司,花蓮美崙分公司,花蓮縣花蓮市中美路113-6、113-7、113-8號,1,False,121.6269115,23.9930433
97,全聯實業股份有限公司,文山福興分公司,臺北市文山區福興路62號,1,False,121.55000629999999,25.003947699999994
98,全聯實業股份有限公司,竹北隘口分公司,新竹縣竹北市隘口六街57號,1,False,121.03344729999999,24.803360100000003
99,全聯實業股份有限公司,土城立仁分公司,新北市土城區立仁街42號地下1層,1,False,121.46056039999999,24.982561499999996
100,全聯實業股份有限公司,神岡中正分公司,臺中市神岡區中正路21號,1,False,120.6579048,24.2573345
101,全聯實業股份有限公司,三重捷運分公司,新北市三重區捷運路39、41號,1,False,121.48411420000001,25.05598935
102,全聯實業股份有限公司,台中三民分公司,臺中市中區三民路2段140號,1,False,120.6809281,24.143632199999995
103,全聯實業股份有限公司,苗栗銅鑼分公司,苗栗縣銅鑼鄉大同路51、53號,1,False,120.78677904999998,24.489571799999993
104,全聯實業股份有限公司,新莊中原分公司,新北市新莊區中原東路192、196號1~2樓,1,False,121.46093699999999,25.054951400000004
106,全聯實業股份有限公司,新莊中榮分公司,新北市新莊區中港路526、528號,1,False,121.4517054,25.0523153
107,全聯實業股份有限公司,台中太原分公司,臺中市北屯區太原路3段191之1號,1,False,120.69150330000001,24.165077399999994
108,全聯實業股份有限公司,中正牯嶺分公司,臺北市中正區板溪里和平西路1段52、54號,1,False,null,null
109,全聯實業股份有限公司,卓蘭昭永分公司,苗栗縣卓蘭鎮昭永路1號,1,False,120.8267354,24.3097079
110,全聯實業股份有限公司,新店中正分公司,新北市新店區中正路189巷2-1號,1,False,121.54034599999999,24.972143
111,全聯實業股份有限公司,內湖南湖分公司,臺北市內湖區安湖里東湖路33巷19號地下一層,1,False,121.61309050000001,25.0699489
113,全聯實業股份有限公司,文山辛亥分公司,臺北市文山區興業里興隆路2段252號,1,False,121.5542373,25.000650099999998
