,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址,floor,lon,lat
271,108,基隆市信義區東信路61之1號7樓,信義區,27.0,房地(土地+建物),1081111,0810622,華廈(10層含以下有電梯),3,1,1,,有,53253,False,7,121.7659285,25.127381399999997
272,108,基隆市中正區新豐街396號13樓,中正區,23.0,房地(土地+建物),1081116,0850309,住宅大樓(11層含以上有電梯),3,2,2,,有,37529,False,13,121.78678439999997,25.1358598
273,108,基隆市暖暖區八堵路20巷16號5樓,暖暖區,18.0,房地(土地+建物)+車位,1081117,0901004,公寓(5樓含以下無電梯),4,3,2,坡道平面,無,31243,False,5,121.7357488,25.1109233
274,108,基隆市暖暖區過港路10巷163號,暖暖區,36.0,房地(土地+建物),1081201,0720422,透天厝,4,1,2,,無,35613,False,1,121.74276119999998,25.1058068
275,108,基隆市中山區復興路201巷7弄25號,中山區,22.0,房地(土地+建物),1081116,0860825,透天厝,4,2,4,,無,66457,False,1,121.72338760000001,25.146446200000003
276,108,基隆市安樂區樂利三街22號9樓,安樂區,25.0,房地(土地+建物)+車位,1081108,0830915,住宅大樓(11層含以上有電梯),4,2,3,坡道平面,有,52745,False,9,121.71781899999999,25.129622999999995
277,108,基隆市安樂區樂利三街8巷2號17樓,安樂區,24.0,房地(土地+建物),1081106,0840504,住宅大樓(11層含以上有電梯),4,2,2,,有,41019,False,17,121.7190994,25.129144399999994
278,108,基隆市仁愛區成功一路113巷21弄20之4號,仁愛區,44.0,房地(土地+建物),1081113,0641105,公寓(5樓含以下無電梯),0,0,1,,無,18710,False,1,121.736008,25.126638999999997
279,108,基隆市安樂區麥金路793之3號11樓,安樂區,24.0,房地(土地+建物),1081109,0840622,住宅大樓(11層含以上有電梯),3,2,2,,有,39981,False,11,121.7206839,25.134866
280,108,基隆市七堵區明德一路2巷3弄54號,七堵區,34.0,房地(土地+建物),1081123,0740307,公寓(5樓含以下無電梯),5,2,2,,無,37923,False,1,121.71567490000001,25.100413299999996
281,108,基隆市七堵區光明路98號3樓之1,七堵區,31.0,房地(土地+建物),1081128,0770203,公寓(5樓含以下無電梯),3,1,1,,無,66863,False,3,121.7141199,25.095993399999998
282,108,基隆市七堵區百五街79之4號,七堵區,39.0,房地(土地+建物),1081029,0690704,公寓(5樓含以下無電梯),0,0,0,,無,20227,False,1,121.6973364,25.084120599999995
283,108,基隆市安樂區樂利二街62巷262號4樓,安樂區,20.0,房地(土地+建物),1081114,0880114,住宅大樓(11層含以上有電梯),3,2,2,,有,40984,False,4,121.71675679999998,25.121453300000002
284,108,基隆市安樂區基金一路112巷71號,安樂區,38.0,房地(土地+建物),1081111,0701230,透天厝,4,2,2,,無,47468,False,1,121.71439520000001,25.141202299999996
285,108,基隆市暖暖區暖碇路205號6樓,暖暖區,21.0,房地(土地+建物)+車位,1081123,0870520,華廈(10層含以下有電梯),3,2,2,坡道機械,有,40442,False,6,121.75559100000001,25.096555799999997
286,108,基隆市安樂區中和路168巷10弄37號,安樂區,24.0,房地(土地+建物),1081115,0840117,公寓(5樓含以下無電梯),4,3,2,,無,26194,False,1,121.71539190000001,25.1510346
287,108,基隆市安樂區中和路168巷14弄22號,安樂區,24.0,房地(土地+建物),1081115,0840117,公寓(5樓含以下無電梯),4,3,2,,無,26194,False,1,121.71412009999999,25.150901899999997
288,108,基隆市信義區東明路77巷52之1號2樓,信義區,26.0,房地(土地+建物),1081105,0820325,公寓(5樓含以下無電梯),3,2,1,,無,58393,False,2,121.76131300000002,25.126601999999995
289,108,基隆市中正區平二路9巷30之2號,中正區,41.0,房地(土地+建物),1081202,0671003,公寓(5樓含以下無電梯),3,2,2,,無,25377,False,1,121.76365020000001,25.1554607
290,108,基隆市仁愛區獅球路53巷15號2樓,仁愛區,24.0,房地(土地+建物),1081030,0840914,公寓(5樓含以下無電梯),3,2,2,,無,39129,False,2,121.73850100000001,25.124554
291,108,基隆市中正區新豐街303巷19弄20號5樓,中正區,23.0,房地(土地+建物),1081122,0851119,公寓(5樓含以下無電梯),3,1,3,,無,23129,False,5,121.78917229999999,25.1334161
292,108,基隆市信義區教孝街75號14樓之2,信義區,26.0,房地(土地+建物)+車位,1081117,0820618,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,31472,False,14,121.7758622,25.137794799999995
293,108,基隆市信義區深溪路55巷51號4樓,信義區,20.0,房地(土地+建物),1081125,0880122,華廈(10層含以下有電梯),2,1,1,,有,48622,False,4,121.7818034,25.1325948
294,108,基隆市中正區觀海街131號6樓,中正區,20.0,房地(土地+建物),1081130,0880114,套房(1房1廳1衛),1,0,1,,無,40310,False,6,121.793299,25.137732099999994
295,108,基隆市中正區新豐街304號12樓,中正區,23.0,房地(土地+建物)+車位,1081128,0850309,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,34136,False,12,121.7870628,25.1359104
296,108,基隆市信義區信二路217巷1之3號,信義區,46.0,房地(土地+建物),1080811,0620119,公寓(5樓含以下無電梯),3,2,1,,無,86155,False,1,121.74899219999999,25.1298338
