,index,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡,交易年份,修正地址,floor,total_floor,lon,lat
495,530,暖暖區,房地(土地+建物),基隆市暖暖區暖暖街16巷25號4樓,33.36,住,,,1081118,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820716,86.47,3,1,1,有,無,2600000,30068,,0.0,0,含增建或未登記建物。；,RPQNMLNLKIOFFCC87CA,77.83,0.0,7.18,無,,26.0,108,False,4,4,121.73765799999998,25.102037499999998
496,531,暖暖區,房地(土地+建物)+車位,基隆市暖暖區碇內街111之3號8樓,28.16,住,,,1081029,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980624,164.31,3,2,2,有,有,6700000,40777,坡道平面,28.62,0,,RPRNMLNLKIOFFCC97CA,84.9,0.0,10.14,有,,10.0,108,False,8,12,121.75501969999999,25.091000299999997
497,534,安樂區,房地(土地+建物)+車位,基隆市安樂區樂利二街62巷110號5樓,33.06,住,,,1081128,土地2建物1車位1,五層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050517,169.18,3,2,2,有,有,9400000,55562,坡道平面,33.19,0,,RPVNMLQJJHPFFCC38CA,81.7,5.2,8.55,有,,3.0,108,False,5,9,121.71655090000002,25.121042199999994
498,535,中山區,房地(土地+建物),基隆市中山區德安路79之7號5樓,30.57,住,,,1080913,土地2建物1車位0,五層，見其他登記事項,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080413,81.21000000000001,3,2,1,有,有,7800000,96047,,0.0,0,,RPWOMLQJJHPFFCC58CA,54.63,0.0,6.73,有,,0.0,108,False,5,5,121.72452899999998,25.1512483
499,536,暖暖區,房地(土地+建物)+車位,基隆市暖暖區暖暖街16巷30之1號3樓,46.56,住,,,1081025,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1071203,191.99,3,2,2,有,有,10200000,59364,升降機械,31.96,700000,,RPPNMLKLKIOFFCC57DA,94.03,5.49,8.22,有,,1.0,108,False,3,7,121.7375545,25.1017812
500,537,暖暖區,房地(土地+建物),基隆市暖暖區碇內街363號2樓,24.64,住,,,1081119,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840517,107.58000000000001,3,2,2,有,有,2800000,26027,,0.0,0,,RPXNMLKMKIOFFCC58EA,70.91,0.81,7.01,有,,24.0,108,False,2,6,121.75295589999999,25.0884959
501,538,安樂區,房地(土地+建物)+車位,基隆市安樂區基金二路1巷174之4號13樓之1,12.82,住,,,1081122,土地1建物1車位1,十三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811103,114.17999999999999,1,1,1,有,有,3500000,30653,坡道平面,0.0,0,,RPQNMLOLKIOFFCC18EA,96.43,0.0,9.56,有,,27.0,108,False,13,17,121.700464,25.141614999999994
502,539,安樂區,房地(土地+建物)+車位,基隆市安樂區中和路85巷38號8樓之2,13.32,其他,,,1081126,土地7建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860508,41.7,3,2,1,有,有,2850000,68345,坡道平面,0.0,0,,RPTNMLQLKIOFFCC68EA,37.43,0.33,3.94,有,,22.0,108,False,8,11,121.72201949999999,25.148238499999998
503,540,中正區,房地(土地+建物),基隆市中正區中船路5巷25號12樓,12.92,商,,,1081117,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0741219,115.47999999999999,3,2,1,有,有,6250000,54122,,0.0,0,含增建或未登記建物。；權利人共二位,RPSNMLRKKHPFFBC48EA,94.5,3.25,7.96,有,,34.0,108,False,12,12,121.75055119999999,25.137937899999997
504,541,七堵區,房地(土地+建物),基隆市七堵區百二街227號,37.5,住,,,1081112,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0811124,88.6,3,2,2,有,無,8420000,95034,,0.0,0,含增建或未登記建物。；,RPPNMLSJJHPFFCC97CA,77.05,8.94,0.0,無,,27.0,108,False,1,4,121.69972529999998,25.082326400000003
505,542,中山區,房地(土地+建物),基隆市中山區通仁街154之5號,13.6,住,,,1081115,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0690717,41.0,2,1,1,有,無,1200000,29268,,0.0,0,,RPROMLQJJHPFFCC08CA,41.0,0.0,0.0,無,,39.0,108,False,1,5,121.73479399999998,25.144593
506,543,安樂區,房地(土地+建物),基隆市安樂區樂利三街38巷62之1號,32.54,住,,,1081128,土地12建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680228,50.64,2,2,1,有,無,2250000,44431,,0.0,0,,RPQNMLPJJHPFFCC77CA,43.9,0.0,6.74,無,,40.0,108,False,2,4,121.7144498,25.1259812
507,544,七堵區,房地(土地+建物)+車位,基隆市七堵區實踐路248號3樓,28.28,住,,,1081030,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071212,157.81,3,2,1,有,有,12090000,82149,坡道平面,32.55,1800000,,RPSNMLTJJHPFFCC38CA,81.42,1.7,8.37,有,,1.0,108,False,3,14,121.6939082,25.0866392
508,545,七堵區,房地(土地+建物),基隆市七堵區福五街186之4號,31.15,住,,,1081113,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700411,101.23,3,2,1,有,無,2600000,25684,,0.0,0,,RPUOMLNLKIOFFCC38CA,101.23,0.0,0.0,無,,38.0,108,False,5,5,121.69775349999999,25.0879896
509,546,中山區,房地(土地+建物),基隆市中山區通仁街134巷55之1號,31.2,住,,,1081129,土地5建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710122,83.46,3,2,1,有,無,1750000,20968,,0.0,0,含增建或未登記建物。；,RPXOMLNLKIOFFCC68CA,83.46,0.0,0.0,無,,37.0,108,False,2,5,121.73520850000001,25.145179900000002
510,548,中正區,房地(土地+建物),基隆市中正區新豐街303巷14弄42號,125.6,住,,,1081129,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0780829,175.43,4,2,3,有,無,9500000,54153,,0.0,0,含增建或未登記建物。；,RPOOMLKLKIOFFBC37CA,132.79,36.1,6.54,無,,30.0,108,False,1,2,121.7867123,25.1335613
511,549,信義區,房地(土地+建物),基隆市信義區東明路55巷12之2號,43.05,住,,,1081010,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680824,120.13,3,2,1,有,無,4230000,35212,,0.0,0,含增建或未登記建物。；,RPTNMLNLKIOFFBC08CA,109.08,0.0,11.05,無,,40.0,108,False,3,4,121.76330430000002,25.126709800000004
512,550,仁愛區,房地(土地+建物),基隆市仁愛區獅球路169巷5弄27號,101.0,住,,,1081008,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0650120,101.04,6,3,3,有,無,2900000,28702,,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；權利人實為3人,RPUNMLOLKIOFFBC28CA,101.04,0.0,0.0,無,,43.0,108,False,1,2,121.7367671,25.1233111
513,551,中正區,房地(土地+建物),基隆市中正區新豐街366號9樓,20.37,住,,,1081126,土地2建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850309,114.25999999999999,3,2,1,有,有,4100000,35883,,0.0,0,,RPVNMLOLKIOFFBC38CA,86.99,0.0,10.48,有,,23.0,108,False,9,15,121.78658269999998,25.1366375
