,index,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡,交易年份,修正地址,floor,total_floor,lon,lat
901,1055,士林區,房地(土地+建物),臺北市士林區中山北路七段232巷12號地下室,27.7,住,,,1101108,土地2建物1車位0,地下層,七層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,0710227,134.54000000000002,4,2,2,有,有,6000000,44596,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLLKIGGFEA96DA,119.54,0.0,0.0,有,,39.0,110,False,1,7,121.533682,25.127173
902,1056,松山區,房地(土地+建物),臺北市松山區復興北路427巷19號十樓,35.88,住,,,1101030,土地3建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840816,172.46,3,2,2,有,有,33000000,191349,,0.0,0,其他增建；,RPTRMLNJKIGGFDA67DA,97.0,0.0,12.69,有,,26.0,110,False,10,11,121.54587719999999,25.0634466
903,1057,松山區,房地(土地+建物)+車位,臺北市松山區延壽街18巷21號十一樓,21.11,住,,,1101123,土地1建物1車位1,十一層，夾層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070327,173.05,3,2,2,有,有,43000000,302248,升降平面,37.4,2000000,其他增建；,RPRTMLNJKIGGFDA67DA,82.0,2.35,5.05,有,362.0,3.0,110,False,11,11,121.56863279999999,25.0564935
904,1058,信義區,房地(土地+建物)+車位,臺北市信義區光復南路473巷21號四樓,34.07,住,,,1101031,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970328,200.83,4,2,2,有,有,59500000,296270,坡道平面,40.28,0,其他增建；,RPXPMLMJKIGGFDA77DA,105.73,1.59,10.58,有,,13.0,110,False,4,8,121.5585613,25.033766999999997
905,1060,信義區,房地(土地+建物),臺北市信義區基隆路一段350號二樓之33,9.74,商,,,1101207,土地3建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0621124,40.85,0,0,0,無,有,11000000,269278,,0.0,0,,RPQOMLNKKIGGFDA17DA,30.32,0.0,0.0,有,,48.0,110,False,2,6,121.56136409999999,25.0364786
906,1061,信義區,房地(土地+建物),臺北市信義區信義路五段150巷229號四樓,30.25,住,,,1101121,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620802,86.96,3,1,1,有,無,18720000,215271,,0.0,0,含土地增值稅或其他稅費；含仲介費；頂樓加蓋；,RPWNMLOKKIGGFDA77DA,86.96,0.0,0.0,無,,48.0,110,False,4,4,121.568753,25.028210899999998
907,1062,信義區,房地(土地+建物),臺北市信義區吳興街83號,13.77,住,,,1101117,土地1建物1車位0,一層,六層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0780603,80.6,0,0,1,有,無,27330000,339082,,0.0,0,其他增建；,RPPRMLSJKIGGFDA77DA,68.9,7.18,0.0,有,,32.0,110,False,1,6,121.56069810000001,25.030711599999997
908,1063,松山區,房地(土地+建物)+車位,臺北市松山區敦化北路6號七樓,42.2,住,,,1100923,土地2建物1車位3,七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1071126,541.15,3,2,4,有,有,266780000,583034,坡道平面,104.16,12000000,,RPSNMLPLJIGGFDA47DA,247.25,15.59,33.91,有,,3.0,110,False,7,23,121.5485471,25.050322999999995
909,1064,松山區,房地(土地+建物)+車位,臺北市松山區八德路四段245巷18之3號,18.95,住,,,1101113,土地1建物1車位1,一層,十二層,住宅大樓(11層含以上有電梯),其他,鋼骨鋼筋混凝土造,0910313,103.27000000000001,0,1,1,有,有,23660000,229108,坡道平面,35.43,0,陽台外推；,RPSQMLOLJIGGFDA67DA,41.05,1.15,7.12,有,,19.0,110,False,1,12,121.5645022,25.0496329
910,1065,松山區,房地(土地+建物),臺北市松山區八德路四段755號三樓之4,6.26,商,,,1101117,土地1建物1車位0,三層,十層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,0900507,49.050000000000004,1,1,1,有,有,12250000,249745,,0.0,0,,RPWOMLLLKIGGFDA67DA,31.2,0.0,4.0,有,,20.0,110,False,3,10,121.57745870000001,25.050622
