,index,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡,交易年份,修正地址
7621,2565,大安區,房地(土地+建物),臺北市大安區信義路四段188號七樓之9,4.0,商,,,1110222,土地2建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0850705,48.85,1,1,1,有,有,18180000,372160,,0.0,0,陽台外推；夾層；其他增建；,RPSNMLTLLHHGFFA28DA,24.53,1.34,3.72,有,821.0,26.0,111,False
7622,2567,中正區,房地(土地+建物),臺北市中正區南昌路二段201號,4.84,商,,,1110310,土地1建物1車位0,一層，騎樓,十一層,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,0940601,40.42,0,1,0,有,有,17800000,440376,,0.0,0,陽台外推；夾層；其他增建；,RPUNMLPKKHHGFAA47EA,32.09,0.0,1.17,有,,17.0,111,False
7623,2568,信義區,車位,臺北市信義區忠孝東路五段465、467、469、475、477、477之1至之6號（不包含之4）；虎林街119之12至之19號（不包含之14）；松山路342巷3至13號（奇數號）；松山路342、346號地下層（一至六層）,0.36,商,,,1110323,土地2建物1車位1,地下五層，地下六層,二十一層,其他,停車空間,鋼骨造,1100119,40.08,0,0,0,有,有,2700000,,坡道平面,40.08,2700000,僅車位交易；,RPROMLLKMHHGFDA27DA,0.0,0.0,0.0,有,468.0,1.0,111,False
7624,2569,信義區,車位,臺北市信義區忠孝東路五段465、467、469、475、477、477之1至之6號（不包含之4）；虎林街119之12至之19號（不包含之14）；松山路342巷3至13號（奇數號）；松山路342、346號地下層（一至六層）,0.36,商,,,1110311,土地2建物1車位1,地下五層，地下六層,二十一層,其他,停車空間,鋼骨造,1100119,40.08,0,0,0,有,有,2600000,,坡道平面,40.08,2600000,僅車位交易；,RPSOMLLKMHHGFDA37DA,0.0,0.0,0.0,有,468.0,1.0,111,False
7625,2570,信義區,房地(土地+建物)+車位,臺北市信義區中坡南路201巷18之1號八樓,26.42,住,,,1110306,土地1建物1車位1,八層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100423,226.2,3,2,2,有,有,63500000,312775,坡道平面,32.77,3000000,,RPTPMLMKMHHGFDA67DA,105.62,10.85,11.28,有,,1.0,111,False
7626,2571,松山區,房地(土地+建物)+車位,臺北市松山區市民大道四段39之1號二十二樓,49.36,住,,,1110304,土地2建物1車位2,二十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1090102,357.61,0,0,0,無,有,188230000,650403,坡道平面,81.12,8400000,,RPVNMLNKMHHGFDA77DA,150.81,3.1,22.94,有,,2.0,111,False
7627,2572,松山區,房地(土地+建物),臺北市松山區八德路三段199巷19號七樓之1,5.69,住,,,1110226,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730127,30.259999999999998,1,1,1,有,有,7600000,251157,,0.0,0,陽台外推；,RPSOMLNKMHHGFDA57DA,22.49,0.0,2.96,有,824.0,38.0,111,False
7628,2573,松山區,車位,臺北市松山區新中街6巷11號地下室,5.53,都市：其他:住宅用地(民生社區特定專用區)。,,,1110324,土地5建物1車位1,地下層,七層,其他,防空避難室、停車場、店舖、冷飲店,鋼筋混凝土造,0680103,24.9,0,0,0,有,有,3000000,,坡道平面,0.0,3000000,僅車位交易；,RPPPMLNKMHHGFDA37DA,0.0,0.0,0.0,有,825.0,43.0,111,False
7629,2574,信義區,房地(土地+建物),臺北市信義區信義路五段150巷342弄17之1號五樓,27.18,住,,,1110302,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710609,111.78,4,2,4,有,無,22500000,201288,,0.0,0,含土地增值稅或其他稅費；含仲介費；陽台外推；頂樓加蓋；夾層；,RPWQMLRJMHHGFDA48DA,84.29,22.76,4.73,無,,40.0,111,False
7630,2575,松山區,房地(土地+建物),臺北市松山區復興北路333號七樓之3,19.5,商,,,1110221,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720808,131.75,3,2,2,有,有,34000000,258065,,0.0,0,陽台外推；其他增建；,RPUNMLLJMHHGFDA37DA,98.21,0.76,14.23,有,,39.0,111,False
7631,2578,信義區,房地(土地+建物),臺北市信義區松山路482巷8號六樓,13.54,住,,,1110227,土地2建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740723,119.2,3,2,2,有,有,30860000,258893,,0.0,0,陽台外推；其他增建；,RPXPMLPLLHHGFDA38DA,89.09,0.0,10.59,有,,37.0,111,False
7632,2579,松山區,房地(土地+建物),臺北市松山區八德路四段245巷52弄25號七樓,23.54,住,,,1110311,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0750318,126.47,5,3,4,有,有,38000000,300467,,0.0,0,陽台外推；頂樓加蓋；,RPROMLSKLHHGFDA87DA,106.65,0.0,12.41,有,827.0,36.0,111,False
7633,2580,松山區,房地(土地+建物),臺北市松山區塔悠路195號二樓之3,15.66,住,,,1110301,土地1建物1車位0,二層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0940202,45.09,2,1,1,有,有,10900000,241739,,0.0,0,陽台外推；夾層；,RPXNMLMLLHHGFDA87DA,25.75,0.0,3.08,有,,17.0,111,False
