,0,0
271,189743,194001.75
272,148830,146773.4
273,187023,185574.2
274,265941,253809.78
275,614081,618440.5
276,302396,301789.47
277,245280,246751.95
278,484022,483995.88
279,301058,289286.62
280,232975,235179.3
