,交易年份,屋齡,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,HOSPITAL_COUNT,CSTORE_COUNT,NEAR_UNIVERSITY,NEAR_FIRESTATION,NEAR_FUEL,NEAR_LIBRARY,NEAR_MARKET,PARK_AREA,PARKING_AREA,TEMPLE_COUNT,NEAR_POLICE,NEAR_SCHOOL,NEAR_STATION,單價元平方公尺
13,111,12,1,1,1,1,72.0,47.0,0.0,1.0,1.0,0.0,1.0,61801.352816413855,24705.390164444125,20,1.0,1.0,1.0,247992
14,111,38,3,2,2,1,17.0,21.0,0.0,1.0,1.0,1.0,1.0,11658.907941060976,12615.152311805488,5,1.0,1.0,0.0,159137
15,111,43,1,1,1,1,37.0,30.0,0.0,1.0,0.0,1.0,1.0,5424.976522144296,10692.60923425565,9,0.0,1.0,1.0,149721
16,111,50,2,1,0,1,72.0,31.0,0.0,0.0,1.0,0.0,1.0,32464.58547864725,21396.262062852962,16,0.0,1.0,1.0,367022
17,111,56,3,2,1,0,66.0,34.0,0.0,1.0,1.0,0.0,1.0,14277.74563451495,9648.201203058054,22,1.0,1.0,1.0,267668
18,111,43,2,1,2,1,47.0,31.0,0.0,1.0,1.0,0.0,1.0,34481.1551978116,19600.226982810633,20,1.0,1.0,0.0,247155
19,111,37,2,1,1,1,66.0,48.0,0.0,1.0,1.0,0.0,1.0,31902.65384967706,10014.241583520386,26,1.0,1.0,1.0,218051
20,111,27,1,1,1,1,66.0,42.0,1.0,1.0,0.0,1.0,1.0,12259.765669927552,7824.050064609662,21,1.0,1.0,1.0,169464
21,111,5,1,0,1,1,38.0,10.0,1.0,0.0,1.0,1.0,0.0,30556.859363410917,20335.09334351391,10,0.0,1.0,0.0,238503
22,111,38,1,1,1,1,71.0,38.0,0.0,1.0,1.0,1.0,1.0,13869.266493645337,8584.307459458376,24,1.0,1.0,1.0,154629
23,111,41,2,1,2,1,53.0,39.0,0.0,1.0,0.0,1.0,1.0,9327.368972440507,5973.1540755210135,16,1.0,1.0,1.0,189796
24,111,55,3,1,1,0,77.0,46.0,0.0,1.0,0.0,1.0,1.0,36393.56394745007,6631.890272447586,19,1.0,1.0,1.0,183261
25,110,40,0,1,1,1,56.0,34.0,0.0,0.0,1.0,0.0,0.0,49553.76192012253,27802.248167257505,8,1.0,1.0,0.0,187520
26,111,42,0,0,0,1,75.0,46.0,0.0,1.0,0.0,1.0,1.0,35899.490046140025,6422.0324741093755,23,1.0,1.0,1.0,172024
27,111,46,3,2,2,0,88.0,39.0,0.0,1.0,0.0,1.0,1.0,46413.371563566514,6831.568640453138,13,1.0,1.0,1.0,207983
28,111,41,3,2,1,0,15.0,13.0,0.0,1.0,1.0,0.0,1.0,65296.14182540315,32097.79322063283,5,1.0,1.0,0.0,138310
29,111,14,2,1,1,1,44.0,32.0,1.0,0.0,0.0,1.0,1.0,12004.509739900186,5906.637066054793,14,0.0,1.0,1.0,257353
30,110,11,1,1,1,1,77.0,32.0,0.0,1.0,1.0,0.0,1.0,12015.061282185647,9386.506811724303,13,1.0,1.0,1.0,297967
31,111,36,1,0,1,1,50.0,29.0,1.0,0.0,0.0,1.0,1.0,14934.255249009457,9929.854793707691,5,1.0,1.0,0.0,221944
32,111,40,1,1,1,1,30.0,28.0,0.0,1.0,0.0,1.0,1.0,5140.856298658613,10932.026877637036,10,0.0,1.0,1.0,201025
33,111,40,1,0,1,1,72.0,39.0,0.0,1.0,1.0,1.0,1.0,16480.876856731116,8377.677283490286,27,1.0,1.0,1.0,123827
34,111,35,1,1,1,1,21.0,26.0,0.0,1.0,0.0,1.0,1.0,3981.581943952684,10141.95456500302,9,0.0,1.0,0.0,175055
35,111,11,2,1,1,1,63.0,39.0,0.0,0.0,0.0,1.0,1.0,57193.90048994591,31009.897201963606,12,1.0,1.0,1.0,156967
36,111,15,1,1,1,1,68.0,26.0,0.0,1.0,0.0,1.0,1.0,11454.465287064653,6202.028619945856,17,1.0,1.0,1.0,257946
37,111,28,2,2,2,1,42.0,30.0,1.0,0.0,0.0,1.0,1.0,14630.031260941842,10059.122181047793,11,1.0,1.0,0.0,220679
38,110,36,2,2,2,1,67.0,24.0,0.0,1.0,1.0,1.0,0.0,11275.004499025617,7849.246782978318,11,1.0,1.0,1.0,225489
39,110,45,4,1,1,0,45.0,15.0,1.0,0.0,1.0,1.0,1.0,45387.23878355724,7816.043383595144,9,1.0,1.0,1.0,191029
40,111,32,0,0,0,1,88.0,34.0,0.0,1.0,0.0,1.0,1.0,20638.25077925735,3632.0576347218966,9,1.0,1.0,1.0,251544
41,111,40,1,1,1,1,37.0,29.0,0.0,1.0,0.0,1.0,1.0,5486.637775142871,10486.590233843355,10,0.0,1.0,1.0,179768
42,111,38,2,1,1,1,71.0,38.0,0.0,1.0,1.0,1.0,1.0,13869.266493645337,8584.307459458376,24,1.0,1.0,1.0,168568
43,111,38,2,2,1,1,76.0,39.0,0.0,1.0,1.0,1.0,1.0,15084.285360745062,8377.677286626835,26,1.0,1.0,1.0,159473
44,111,2,0,0,0,1,73.0,31.0,0.0,0.0,0.0,0.0,1.0,17088.11013083989,7510.781738413965,12,1.0,1.0,1.0,410755
45,111,33,2,2,1,1,44.0,31.0,1.0,0.0,0.0,0.0,1.0,72723.83013423694,4854.441868552396,12,0.0,1.0,1.0,246210
46,111,38,1,1,1,1,45.0,30.0,0.0,0.0,1.0,1.0,1.0,39543.19359408422,28766.23807277885,8,1.0,1.0,0.0,179352
47,111,41,4,2,2,1,22.0,21.0,0.0,1.0,1.0,1.0,1.0,71241.15518177875,32534.438193136575,6,1.0,1.0,0.0,204694
48,111,8,2,2,1,1,44.0,24.0,0.0,1.0,1.0,1.0,1.0,6430.310953809158,16766.85505802754,8,1.0,1.0,0.0,236750
49,111,15,0,1,1,1,47.0,30.0,0.0,0.0,1.0,1.0,1.0,45343.99534646755,31373.91461471565,7,1.0,1.0,0.0,235318
50,111,14,1,1,1,1,44.0,32.0,1.0,0.0,0.0,1.0,1.0,12004.509739900186,5906.637066054793,14,0.0,1.0,1.0,241176
51,111,19,1,0,1,1,45.0,27.0,0.0,0.0,1.0,1.0,1.0,7047.051317185439,16297.315324617539,9,1.0,1.0,0.0,242267
52,110,41,3,2,2,1,68.0,26.0,1.0,0.0,0.0,1.0,1.0,15263.214305857306,9279.148235946517,5,0.0,1.0,0.0,223091
53,111,43,0,0,0,1,32.0,27.0,1.0,1.0,0.0,1.0,1.0,4981.049280045756,10227.356862169345,11,0.0,1.0,1.0,144785
54,111,15,1,1,1,1,72.0,38.0,0.0,1.0,1.0,0.0,0.0,38477.41819300661,22685.637117917107,25,1.0,1.0,0.0,252769
55,111,39,3,2,2,0,39.0,11.0,1.0,0.0,1.0,1.0,0.0,27208.370895430286,21676.522081894887,8,0.0,1.0,0.0,221091
56,110,3,0,0,0,1,54.0,28.0,1.0,0.0,0.0,1.0,1.0,13479.49000894732,9971.80255136629,5,1.0,1.0,0.0,287336
57,111,36,2,2,2,1,53.0,25.0,1.0,0.0,1.0,1.0,1.0,71929.66680909417,29609.20020510859,4,0.0,1.0,1.0,208470
58,111,41,1,1,1,1,70.0,28.0,0.0,0.0,1.0,1.0,1.0,13237.082634588485,5145.8745725423,16,1.0,1.0,1.0,205554
59,110,33,1,1,1,1,80.0,43.0,0.0,0.0,1.0,0.0,0.0,57599.92024602909,26160.78834584012,13,1.0,1.0,0.0,157700
60,111,33,1,1,1,1,48.0,30.0,0.0,0.0,1.0,1.0,1.0,51755.990017727774,30645.282288201397,8,1.0,1.0,0.0,186803
61,111,50,3,2,1,0,14.0,13.0,0.0,1.0,0.0,1.0,0.0,7167.587253153142,7854.915011424759,5,1.0,1.0,0.0,173241
62,111,10,1,1,1,1,57.0,41.0,0.0,1.0,0.0,1.0,1.0,8492.897615442142,6736.408933948839,16,1.0,1.0,1.0,245399
63,111,41,3,2,2,1,49.0,25.0,1.0,0.0,0.0,1.0,1.0,19070.5285975851,6471.528951350978,4,1.0,1.0,0.0,187512
64,111,14,1,0,1,1,63.0,36.0,0.0,0.0,0.0,1.0,1.0,52236.03956591535,30546.34295183943,11,1.0,1.0,0.0,250987
65,111,12,1,2,1,1,84.0,40.0,0.0,1.0,0.0,1.0,1.0,22104.974225552058,8124.710088262854,25,1.0,1.0,1.0,258088
66,111,13,1,1,1,1,40.0,28.0,1.0,1.0,0.0,1.0,1.0,6387.5988410271275,9770.45599872924,11,0.0,1.0,1.0,268084
67,111,41,3,2,2,0,15.0,11.0,0.0,0.0,0.0,0.0,1.0,22584.08325065754,2612.2086375972804,5,0.0,1.0,0.0,127621
68,111,26,1,1,1,1,86.0,44.0,0.0,1.0,0.0,1.0,1.0,14179.717648832662,7103.750239745609,23,1.0,1.0,1.0,178944
69,111,14,1,0,1,1,73.0,21.0,1.0,0.0,1.0,0.0,1.0,11231.890918632304,10078.182711409561,8,1.0,1.0,1.0,255862
70,110,42,1,1,1,1,52.0,31.0,0.0,1.0,1.0,1.0,0.0,11227.193637864613,15013.42393080352,7,1.0,1.0,1.0,183385
71,111,45,2,2,1,1,47.0,25.0,1.0,0.0,1.0,0.0,1.0,73307.22702848542,29088.043365371464,2,0.0,1.0,0.0,258039
72,111,46,1,2,1,1,78.0,41.0,0.0,0.0,1.0,0.0,0.0,49232.691157458896,26324.602245480917,13,1.0,1.0,0.0,171262
73,111,40,3,2,2,1,73.0,27.0,1.0,0.0,0.0,1.0,1.0,31968.689468310993,7661.192479629486,1,0.0,1.0,1.0,240176
74,111,30,1,1,1,1,29.0,23.0,1.0,1.0,0.0,1.0,1.0,21220.646017474024,8029.095542674448,9,0.0,1.0,0.0,204304
75,111,55,0,0,0,0,49.0,35.0,0.0,0.0,1.0,0.0,1.0,47644.26869037023,29220.501285137896,7,1.0,1.0,0.0,427722
76,111,55,3,1,1,0,51.0,34.0,0.0,0.0,1.0,0.0,1.0,48424.11822352538,30883.84050075835,7,1.0,1.0,0.0,119048
77,111,40,2,2,1,1,82.0,43.0,0.0,1.0,0.0,1.0,1.0,23547.7232128124,8377.677283490286,27,1.0,1.0,1.0,162729
78,111,46,5,3,2,0,51.0,30.0,0.0,0.0,1.0,1.0,1.0,73470.79933028627,30675.486488751718,5,0.0,0.0,1.0,157560
79,111,40,1,1,1,1,83.0,47.0,0.0,0.0,1.0,1.0,0.0,47883.711990924676,26751.545659049665,13,1.0,1.0,0.0,159380
80,111,39,0,0,0,1,43.0,27.0,0.0,1.0,1.0,1.0,1.0,54729.01222433851,33245.00413499827,6,1.0,0.0,0.0,104154
81,111,14,2,2,1,1,65.0,27.0,0.0,0.0,1.0,1.0,1.0,12076.421534019628,8863.352896517797,15,1.0,1.0,1.0,315288
82,111,39,4,2,2,1,67.0,27.0,1.0,0.0,0.0,0.0,1.0,48114.622681772315,14306.562514519086,2,0.0,1.0,1.0,209751
83,111,30,1,1,1,1,22.0,6.0,0.0,0.0,0.0,0.0,0.0,218224.0826094858,8384.781406878521,4,0.0,1.0,1.0,249518
84,110,48,3,2,2,0,68.0,37.0,0.0,0.0,1.0,0.0,0.0,52347.99252148333,26294.37758938151,14,0.0,1.0,0.0,197032
85,111,38,3,2,2,1,23.0,20.0,0.0,1.0,1.0,1.0,1.0,9176.940970308906,12142.304710173034,4,1.0,1.0,0.0,202794
86,111,25,3,2,1,1,41.0,13.0,1.0,0.0,1.0,1.0,0.0,25889.146805388864,22918.167666203677,9,0.0,1.0,0.0,292303
87,111,43,0,1,1,1,51.0,31.0,0.0,1.0,0.0,1.0,1.0,6935.057203199699,9801.835830562546,13,0.0,1.0,1.0,158625
88,111,48,2,2,1,1,78.0,42.0,0.0,0.0,1.0,0.0,0.0,56830.71366601459,26110.401499845655,13,1.0,1.0,0.0,224918
89,111,38,2,2,2,1,88.0,45.0,0.0,1.0,0.0,1.0,1.0,20386.09392011505,7664.1173528709705,25,1.0,1.0,1.0,185429
90,111,44,1,1,1,1,36.0,30.0,0.0,1.0,0.0,1.0,1.0,6514.986682450388,10077.222280737835,7,0.0,1.0,1.0,193311
91,111,41,0,0,0,1,70.0,28.0,0.0,0.0,1.0,1.0,1.0,13237.082634588485,5145.8745725423,16,1.0,1.0,1.0,211425
92,111,46,2,1,1,1,39.0,22.0,1.0,0.0,0.0,1.0,1.0,38716.63409890757,3789.5925860296643,6,0.0,1.0,1.0,193660
93,111,22,3,2,2,1,14.0,12.0,0.0,1.0,0.0,0.0,0.0,146860.5199449105,26116.35366470923,2,0.0,1.0,0.0,206431
94,111,56,3,1,1,0,62.0,33.0,0.0,1.0,1.0,1.0,1.0,17708.268258241795,8434.6152618826,25,1.0,1.0,1.0,190592
95,111,36,3,2,2,1,51.0,27.0,1.0,0.0,0.0,1.0,1.0,38696.37543739197,21791.170485253773,7,0.0,1.0,1.0,229578
96,111,45,2,1,1,1,78.0,47.0,0.0,0.0,1.0,1.0,0.0,57663.865197684405,28123.584468062105,12,1.0,1.0,1.0,219017
97,111,45,0,0,0,1,66.0,33.0,1.0,0.0,0.0,1.0,1.0,29375.573709202683,4731.327356871881,19,0.0,1.0,1.0,192864
98,111,45,0,0,0,1,75.0,41.0,0.0,1.0,1.0,0.0,0.0,49754.39137351675,26203.31066935693,14,1.0,1.0,0.0,167785
99,111,43,0,1,1,1,74.0,38.0,0.0,1.0,1.0,0.0,1.0,24722.536834902774,8377.677286626835,27,1.0,1.0,1.0,154138
100,111,34,1,1,1,1,46.0,26.0,1.0,0.0,0.0,1.0,1.0,11185.333749020318,10061.496221186579,11,1.0,1.0,0.0,255821
101,111,43,1,0,1,1,74.0,38.0,0.0,1.0,1.0,0.0,1.0,24722.536834902774,8377.677286626835,27,1.0,1.0,1.0,181571
102,111,37,3,2,2,1,63.0,26.0,1.0,0.0,0.0,1.0,1.0,30788.85422729239,8690.140705661523,3,0.0,1.0,0.0,216978
103,111,41,1,1,1,1,53.0,39.0,0.0,1.0,0.0,1.0,1.0,9327.368972440507,5973.1540755210135,16,1.0,1.0,1.0,180377
104,111,36,0,0,0,1,78.0,33.0,1.0,0.0,0.0,0.0,1.0,18954.098365368456,6539.7487533092835,3,0.0,0.0,1.0,267912
105,111,52,2,2,1,0,16.0,18.0,0.0,1.0,0.0,1.0,0.0,6514.986682450388,7269.956128209885,5,0.0,1.0,0.0,176603
106,111,12,0,0,0,1,77.0,32.0,0.0,1.0,1.0,0.0,1.0,12015.061282185647,9386.506811724303,13,1.0,1.0,1.0,290021
107,111,38,2,1,1,1,76.0,39.0,0.0,1.0,1.0,1.0,1.0,15084.285360745062,8377.677286626835,26,1.0,1.0,1.0,140088
108,111,1,2,2,1,1,24.0,19.0,1.0,0.0,0.0,0.0,1.0,140190.74390270567,6123.179519937148,6,0.0,1.0,1.0,289415
109,111,1,2,2,1,1,24.0,19.0,1.0,0.0,0.0,0.0,1.0,140190.74390270567,6123.179519937148,6,0.0,1.0,1.0,298593
110,111,42,3,2,2,0,63.0,26.0,1.0,0.0,0.0,1.0,1.0,15106.336087438236,6266.4884464727475,3,0.0,1.0,0.0,209518
111,111,46,2,2,1,0,42.0,33.0,1.0,0.0,0.0,1.0,1.0,68075.05631942349,3789.5925860296643,11,0.0,1.0,1.0,224766
112,111,41,3,2,2,0,45.0,32.0,0.0,0.0,1.0,1.0,1.0,50530.51316371477,31174.080648231753,7,1.0,1.0,0.0,131518
113,111,41,1,0,1,1,53.0,39.0,0.0,1.0,0.0,1.0,1.0,9327.368972440507,5973.1540755210135,16,1.0,1.0,1.0,195918
114,111,41,1,0,1,1,67.0,41.0,0.0,1.0,1.0,0.0,0.0,54080.74520840983,25340.20057261368,15,1.0,1.0,0.0,158755
115,111,31,2,1,1,1,46.0,16.0,1.0,0.0,1.0,1.0,1.0,53193.49938012535,10790.181414370765,9,0.0,1.0,1.0,261845
116,111,6,1,1,1,1,89.0,36.0,0.0,0.0,0.0,1.0,1.0,35850.09825057467,5236.288149538281,20,1.0,1.0,1.0,305379
117,111,12,1,1,1,1,77.0,32.0,0.0,1.0,1.0,0.0,1.0,12015.061282185647,9386.506811724303,13,1.0,1.0,1.0,300300
118,111,37,4,2,2,1,67.0,24.0,0.0,1.0,1.0,1.0,0.0,11275.004499025617,7849.246782978318,11,1.0,1.0,1.0,186713
119,111,41,3,2,2,0,13.0,10.0,0.0,0.0,0.0,0.0,1.0,16884.801717880877,2242.1156307952483,6,0.0,1.0,0.0,151167
120,111,12,1,0,1,1,54.0,31.0,0.0,1.0,0.0,0.0,1.0,7672.502511211962,6996.5825771752525,13,1.0,1.0,1.0,291527
121,111,12,1,1,0,1,54.0,31.0,0.0,1.0,0.0,0.0,1.0,7672.502511211962,6996.5825771752525,13,1.0,1.0,1.0,289505
122,111,45,2,0,1,1,68.0,39.0,0.0,0.0,1.0,0.0,0.0,52533.717684906136,26397.607187946338,13,0.0,1.0,0.0,196666
123,111,42,1,1,1,1,61.0,21.0,0.0,1.0,1.0,0.0,1.0,10380.945719798961,5667.221162522772,16,1.0,1.0,1.0,165002
124,111,52,3,1,1,0,14.0,12.0,0.0,1.0,0.0,1.0,0.0,5841.660443634706,7269.956125073337,5,0.0,1.0,0.0,255583
125,111,52,3,2,1,0,68.0,31.0,1.0,0.0,0.0,0.0,1.0,16460.056658892132,9435.268815732306,4,0.0,0.0,1.0,212016
126,111,6,1,1,1,1,51.0,31.0,0.0,0.0,1.0,1.0,1.0,51737.50586685375,31773.54730797474,8,1.0,1.0,0.0,199818
127,111,14,0,1,1,1,40.0,17.0,0.0,0.0,0.0,0.0,1.0,42016.98675992089,9781.860156123756,3,1.0,1.0,1.0,268722
128,111,18,1,1,1,1,57.0,29.0,0.0,0.0,0.0,1.0,1.0,12591.101378370728,11126.539251978278,14,1.0,1.0,1.0,309294
129,111,1,2,2,2,1,24.0,19.0,1.0,0.0,0.0,0.0,1.0,140190.74390270567,6123.179519937148,6,0.0,1.0,1.0,284944
130,111,1,2,2,1,1,24.0,19.0,1.0,0.0,0.0,0.0,1.0,140190.74390270567,6123.179519937148,6,0.0,1.0,1.0,292780
131,111,1,2,2,1,1,24.0,19.0,1.0,0.0,0.0,0.0,1.0,140190.74390270567,6123.179519937148,6,0.0,1.0,1.0,295635
132,111,37,3,2,2,1,21.0,18.0,0.0,1.0,1.0,1.0,1.0,8199.70606558144,9561.321838704425,4,1.0,1.0,0.0,200189
133,111,6,1,0,1,1,51.0,31.0,0.0,0.0,1.0,1.0,1.0,51737.50586685375,31773.54730797474,8,1.0,1.0,0.0,206176
134,111,41,0,0,0,1,53.0,39.0,0.0,1.0,0.0,1.0,1.0,9327.368972440507,5973.1540755210135,16,1.0,1.0,1.0,178231
135,111,33,3,2,2,1,69.0,43.0,0.0,0.0,1.0,0.0,0.0,49525.4652359837,25340.90548483201,13,1.0,1.0,0.0,231249
136,110,45,4,2,2,1,70.0,25.0,0.0,1.0,1.0,1.0,1.0,10856.156038527248,3367.4820131200745,13,1.0,1.0,1.0,173923
137,111,18,1,1,1,1,25.0,22.0,1.0,1.0,0.0,1.0,1.0,41380.50642508228,10659.293119623148,8,0.0,1.0,0.0,200508
138,111,38,3,2,2,0,12.0,9.0,0.0,0.0,0.0,0.0,1.0,15347.127297271134,2231.5178131205003,5,0.0,1.0,0.0,164099
139,110,25,3,2,1,1,73.0,35.0,0.0,0.0,1.0,0.0,1.0,41667.4738252662,28498.064603772582,13,1.0,1.0,1.0,324582
140,111,36,3,2,2,1,24.0,19.0,1.0,0.0,0.0,0.0,1.0,142050.75687939776,5589.579761479308,7,0.0,1.0,1.0,226534
141,111,14,1,1,1,1,67.0,39.0,0.0,1.0,1.0,0.0,0.0,50246.503292848625,25931.624764322532,20,1.0,1.0,0.0,240761
142,111,44,3,2,2,0,24.0,18.0,0.0,0.0,1.0,0.0,1.0,73090.55462044249,32919.95597653248,5,0.0,1.0,0.0,153528
143,111,50,3,2,1,0,47.0,32.0,0.0,0.0,1.0,1.0,1.0,11256.792823063894,9728.230830668697,6,0.0,1.0,0.0,263892
144,111,56,0,0,0,0,60.0,30.0,0.0,1.0,0.0,1.0,1.0,11394.636686729813,7457.400342592428,22,1.0,1.0,1.0,241703
145,111,38,1,0,1,1,76.0,45.0,0.0,0.0,1.0,0.0,0.0,47577.083323269006,24786.855748698927,13,1.0,1.0,0.0,172964
146,111,38,2,1,1,1,71.0,38.0,0.0,1.0,1.0,1.0,1.0,13869.266493645337,8584.307459458376,24,1.0,1.0,1.0,179609
147,111,42,0,0,0,1,84.0,34.0,0.0,1.0,0.0,1.0,0.0,18355.51177998915,2666.332700273875,11,1.0,1.0,1.0,173033
148,111,26,1,0,1,1,33.0,15.0,1.0,1.0,1.0,1.0,1.0,7871.6983787328145,8569.52553239331,8,1.0,1.0,1.0,201381
149,111,54,5,1,6,0,58.0,39.0,0.0,0.0,1.0,0.0,1.0,51165.31399959274,28486.626926578087,11,0.0,1.0,1.0,328239
150,111,14,1,2,1,1,53.0,33.0,0.0,1.0,1.0,1.0,1.0,23133.36689244169,18945.236041127442,11,1.0,1.0,1.0,245098
151,111,43,1,1,1,1,60.0,23.0,0.0,1.0,1.0,1.0,1.0,12334.610495378656,5127.440308783292,20,1.0,1.0,1.0,214792
152,111,43,1,1,1,1,60.0,23.0,0.0,1.0,1.0,1.0,1.0,12334.610495378656,5127.440308783292,20,1.0,1.0,1.0,210266
153,111,41,3,2,2,0,61.0,25.0,1.0,0.0,0.0,1.0,1.0,15248.131120727818,8281.5808096439,3,1.0,1.0,0.0,209831
154,111,40,1,1,1,1,69.0,38.0,0.0,1.0,1.0,1.0,1.0,14045.476914288038,9093.784396487285,27,1.0,1.0,1.0,161385
155,111,14,1,1,1,1,53.0,27.0,1.0,0.0,0.0,1.0,1.0,14749.407172223297,9971.80255136629,4,1.0,1.0,0.0,286271
156,111,38,2,2,2,0,28.0,28.0,0.0,1.0,0.0,1.0,1.0,6514.986682450388,10241.868887674042,6,0.0,1.0,1.0,149662
157,111,40,2,1,1,1,83.0,47.0,0.0,0.0,1.0,1.0,0.0,47883.711990924676,26751.545659049665,13,1.0,1.0,0.0,186138
158,111,51,0,1,1,0,47.0,24.0,1.0,0.0,0.0,1.0,1.0,16518.03299143225,9656.895655653589,10,1.0,1.0,0.0,221328
159,111,32,1,0,1,1,68.0,37.0,0.0,0.0,1.0,0.0,1.0,48423.27909336507,28747.50795516759,9,1.0,1.0,1.0,200511
160,111,33,2,2,3,1,72.0,43.0,0.0,0.0,1.0,0.0,0.0,49525.4652359837,25643.775206427134,13,1.0,1.0,0.0,179406
161,111,19,0,1,1,1,75.0,43.0,0.0,1.0,1.0,0.0,1.0,56125.77354984794,26196.67625942,18,1.0,1.0,0.0,195978
162,111,46,3,2,2,0,55.0,24.0,0.0,1.0,1.0,0.0,0.0,10905.475094803181,8752.58640886498,9,1.0,1.0,1.0,189383
163,111,53,2,2,2,0,66.0,26.0,0.0,1.0,0.0,1.0,1.0,10759.371456595236,6210.0653255569505,17,1.0,1.0,1.0,196473
164,111,33,0,0,0,1,86.0,33.0,1.0,0.0,0.0,1.0,1.0,15773.531896028966,4490.71575372728,4,0.0,1.0,1.0,244349
165,111,41,1,0,1,1,53.0,39.0,0.0,1.0,0.0,1.0,1.0,9327.368972440507,5973.1540755210135,16,1.0,1.0,1.0,153846
166,111,52,1,1,1,0,74.0,44.0,0.0,1.0,0.0,1.0,1.0,38034.51841277093,7007.539064478428,18,1.0,1.0,1.0,373943
167,111,42,1,0,1,1,34.0,28.0,0.0,1.0,0.0,1.0,1.0,5160.801395324457,10934.040955650826,9,0.0,1.0,1.0,185391
168,111,56,2,2,1,0,66.0,25.0,0.0,0.0,0.0,1.0,1.0,12764.621185666967,3939.3341979499237,10,0.0,1.0,1.0,284422
169,111,37,1,1,1,1,66.0,48.0,0.0,1.0,1.0,0.0,1.0,31902.65384967706,10014.241583520386,26,1.0,1.0,1.0,205541
170,111,12,0,0,0,1,77.0,32.0,0.0,1.0,1.0,0.0,1.0,12015.061282185647,9386.506811724303,13,1.0,1.0,1.0,313051
171,111,13,3,2,1,1,74.0,47.0,0.0,1.0,1.0,0.0,1.0,38409.73477618086,7795.8688098385355,27,1.0,1.0,1.0,238796
172,111,43,4,2,2,1,41.0,26.0,0.0,1.0,1.0,1.0,1.0,45519.82030478657,30907.62472813943,4,1.0,0.0,0.0,183528
173,111,45,1,1,1,1,49.0,32.0,0.0,1.0,1.0,0.0,1.0,36742.52075823278,20180.900023641832,20,1.0,1.0,0.0,221682
174,111,47,1,1,1,1,68.0,38.0,0.0,0.0,1.0,0.0,0.0,52649.81925474105,25481.545224861853,13,0.0,1.0,0.0,201114
175,111,33,3,2,2,1,65.0,44.0,0.0,0.0,1.0,1.0,0.0,48025.14872907588,25372.471706179505,13,1.0,1.0,0.0,182990
176,111,41,0,0,0,1,53.0,39.0,0.0,1.0,0.0,1.0,1.0,9327.368972440507,5973.1540755210135,16,1.0,1.0,1.0,191114
177,111,46,2,2,2,0,79.0,29.0,1.0,0.0,0.0,0.0,1.0,17888.469961908548,4626.093928460861,3,0.0,1.0,1.0,182360
178,111,39,3,2,1,1,48.0,26.0,1.0,0.0,0.0,1.0,1.0,9098.36909760602,11583.55688189095,13,1.0,1.0,1.0,240757
179,111,50,2,2,1,0,60.0,26.0,0.0,1.0,1.0,0.0,1.0,11079.96907612922,5830.503990087988,20,1.0,1.0,1.0,182991
180,111,42,1,1,1,1,61.0,21.0,0.0,1.0,1.0,0.0,1.0,10380.945719798961,5667.221162522772,16,1.0,1.0,1.0,155314
